egoid,parentND_1,grandparentND_1,siblingND_1,uncleND_1,cousinND_1,otherrelativeND_1,momdec_1,momusa_1,daddec_1,dadusa_1,madaddec_1,madadusa_1,mamomdec_1,mamomusa_1,padaddec_1,padadusa_1,pamomdec_1,pamomusa_1,parentstatus_1,dadage_1,momage_1,yrdadborn_1,yrdaddec_1,yrmomborn_1,yrmomdec_1,numbros_1,numsis_1,numsib_1,adopted_1,birthorder_1,parentincome_1,momeduc_1,dadeduc_1,parenteduc_1,momrace_AmInd_1,momrace_Asian_1,momrace_Black_1,momrace_Latino_1,momrace_Haw_1,momrace_White_1,dadrace_AmInd_1,dadrace_Asian_1,dadrace_Black_1,dadrace_Latino_1,dadrace_Haw_1,dadrace_White_1,dad_multiracial_1,mom_multiracial_1,momrace_1,dadrace_1,parentrace_1,momrelig_1,dadrelig_1,yourelig_1,yourelig_7,yourelig_8
29232,1.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,,1.0,,,,Divorced or living apart,60.0,59.0,,,,,1.0,2.0,3.0,No,second born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
32249,,,,,,,,,,,,,1.0,,1.0,,,,Living together,58.0,50.0,,,,,0.0,2.0,2.0,No,second born,"$200,000 - $249,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Protestant,Protestant,Protestant,,
45375,,,,,,,,1.0,,,,1.0,,1.0,,,,,Divorced or living apart,54.0,39.0,,,,,1.0,1.0,2.0,No,third born,"$50,000 - $74,999",High school graduate,Graduate or professional degree,1 parent no college,,,,,1.0,1.0,,,1.0,,,,1.0,2.0,multiracial,Black,1 or both parents multi-racial,No Religion,Catholic,No Religion,,
25536,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,Divorced or living apart,66.0,51.0,,,,,0.0,1.0,1.0,No,second born,,College/Univeristy degree,Postsecondary school  or some college,1 parent no college,,,,,,1.0,,,,1.0,,,1.0,1.0,White,Latino,Parents different race,Catholic,Catholic,Catholic,,
32037,,,,1.0,,,,,,,,,,,1.0,,1.0,,Living together,51.0,45.0,,,,,1.0,0.0,1.0,No,second born,"$100,000 - $149,999",College/Univeristy degree,High school graduate,1 parent no college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
90476,,,1.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,Living together,54.0,55.0,,,,,0.0,1.0,1.0,No,second born,"$150,000 - $199,999",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,1.0,,,,,1.0,1.0,White,Asian-American,Parents different race,Catholic,Other Religion,Catholic,,
46558,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,Living together,44.0,44.0,,,,,4.0,0.0,4.0,No,fourth born,"$25,000 - $49,999",College/Univeristy degree,Postsecondary school  or some college,1 parent no college,,,,1.0,,,,,,1.0,,,1.0,1.0,Latino,Latino,Both parents same race,Catholic,Catholic,No Religion,Catholic,
24016,,,,,,,,,,,,,,,,,,,Living together,47.0,47.0,,,,,0.0,2.0,2.0,No,first born,"$100,000 - $149,999",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
52277,,,,,,,,,,,1.0,,1.0,,,,1.0,,Living together,53.0,50.0,,,,,3.0,0.0,3.0,No,third born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
93699,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,Living together,52.0,52.0,,,,,0.0,1.0,1.0,No,first born,,Postsecondary school  or some college,Graduate or professional degree,1 parent no college,,1.0,,,,,,1.0,,,,,1.0,1.0,Asian-American,Asian-American,Both parents same race,No Religion,No Religion,No Religion,No Religion,No Religion
36875,,,,,,,,,,,1.0,,,,1.0,,,,Living together,51.0,49.0,,,,,2.0,2.0,4.0,No,second born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
84011,,,,,,,,,,,,,1.0,,1.0,,,,Living together,59.0,54.0,,,,,1.0,0.0,1.0,No,second born,"$250,000 or more",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
90646,,,,,,,,,,,1.0,,,,1.0,,,,Living together,52.0,54.0,,,,,0.0,1.0,1.0,No,second born,"$250,000 or more",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,
88008,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Living together,61.0,57.0,,,,,2.0,0.0,2.0,No,third born,"$25,000 - $49,999",Postsecondary school  or some college,College/Univeristy degree,1 parent no college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,
88967,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,Living together,68.0,55.0,,,,,1.0,0.0,1.0,No,second born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,1.0,,,,,1.0,1.0,White,Asian-American,Parents different race,Catholic,Other Religion,Catholic,,
46701,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Living together,52.0,48.0,,,,,1.0,0.0,1.0,No,second born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,1.0,,,,,,1.0,,,,,1.0,1.0,Asian-American,Asian-American,Both parents same race,Other Religion,Other Religion,Other Religion,,
83566,1.0,,,,,,,,,,1.0,,,,,,,,Divorced or living apart,49.0,50.0,,,,,1.0,1.0,2.0,No,second born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
21090,1.0,,,,,,,,,,,,,,,,,,Living together,49.0,49.0,,,,,1.0,1.0,2.0,No,first born,"$200,000 - $249,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,1.0,,,1.0,,2.0,1.0,White,multiracial,1 or both parents multi-racial,Catholic,Protestant,Catholic,Catholic,Catholic
69419,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,Living together,42.0,43.0,,,,,1.0,0.0,1.0,No,first born,"$50,000 - $74,999",Did not graduate from high school,Did not graduate from high school,Both no college,,,,1.0,,,,,,1.0,,,1.0,1.0,Latino,Latino,Both parents same race,Catholic,Catholic,Catholic,,
87032,,,,,,,,,,,,,,,,,,,Divorced or living apart,41.0,37.0,,,,,2.0,2.0,4.0,No,second born,"$50,000 - $74,999",Graduate or professional degree,Postsecondary school  or some college,1 parent no college,,,1.0,,,,,,1.0,,,,1.0,1.0,Black,Black,Both parents same race,Other Religion,Protestant,Other Religion,,
94641,,,1.0,,,,,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,Living together,53.0,49.0,,,,,3.0,2.0,5.0,No,third born,"$150,000 - $199,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,1.0,,,,,1.0,1.0,White,Asian-American,Parents different race,Catholic,No Religion,Catholic,No Religion,No Religion
82728,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,Living together,50.0,49.0,,,,,2.0,2.0,4.0,No,second born,"$100,000 - $149,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Other Religion,Other Religion,Other Religion,,
45076,,,,,,,,1.0,,,,1.0,,1.0,,,,,Living together,48.0,48.0,,,,,1.0,0.0,1.0,No,first born,"$250,000 or more",College/Univeristy degree,Graduate or professional degree,both parent college,,1.0,,,,,,,,,,1.0,1.0,1.0,Asian-American,White,Parents different race,No Religion,Catholic,Catholic,Catholic,Catholic
58437,,,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,Living together,49.0,47.0,,,,,0.0,1.0,1.0,No,second born,"$100,000 - $149,999",College/Univeristy degree,College/Univeristy degree,both parent college,,1.0,,,,,,1.0,,,,,1.0,1.0,Asian-American,Asian-American,Both parents same race,Catholic,Catholic,Catholic,,
94862,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,,Living together,56.0,55.0,,,,,1.0,1.0,2.0,No,third born,"$150,000 - $199,999",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
14606,,,1.0,,,,,,,,1.0,,,,,,,,Living together,51.0,56.0,,,,,1.0,0.0,1.0,No,second born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,
64075,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,Divorced or living apart,43.0,46.0,,,,,0.0,0.0,0.0,No,only child,"less than $25,000",High school graduate,High school graduate,Both no college,,,,1.0,,,,,,1.0,,,1.0,1.0,Latino,Latino,Both parents same race,Catholic,Catholic,Catholic,,
39787,,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,Living together,51.0,51.0,,,,,0.0,1.0,1.0,No,second born,"$100,000 - $149,999",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Other Religion,Catholic,No Religion,,
82376,,,,,,,,,,,,,1.0,,,,,,Living together,53.0,52.0,,,,,0.0,1.0,1.0,No,second born,"$100,000 - $149,999",College/Univeristy degree,Postsecondary school  or some college,1 parent no college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Protestant,Catholic,,
44872,,,,,,,,,,,,,,,1.0,,,,Divorced or living apart,50.0,50.0,,,,,3.0,1.0,4.0,No,second born,"$200,000 - $249,999",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,No Religion,Protestant,Protestant,Protestant,Protestant
87783,,,,1.0,,,,,,,1.0,,,,,1.0,,,Living together,49.0,49.0,,,,,0.0,2.0,2.0,No,first born,"less than $25,000",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
22199,1.0,,,,,,,,,,,,,,1.0,,,,Divorced or living apart,47.0,47.0,,,,,2.0,3.0,5.0,No,first born,"$200,000 - $249,999",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Protestant,Protestant,Protestant,,
47498,,,,,,,,,,,1.0,,,,1.0,,1.0,,Divorced or living apart,59.0,49.0,,,,,0.0,1.0,1.0,No,first born,"$150,000 - $199,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,1.0,,,,,,,,,1.0,1.0,1.0,Black,White,Parents different race,Catholic,Catholic,Catholic,,
57325,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,Living together,60.0,47.0,,,,,0.0,0.0,0.0,No,only child,"$150,000 - $199,999",Graduate or professional degree,Postsecondary school  or some college,1 parent no college,,,,1.0,,,,,,1.0,,,1.0,1.0,Latino,Latino,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
53776,,,,,,,,,,,,,,,,,,,Living together,53.0,52.0,,,,,1.0,0.0,1.0,No,second born,"$200,000 - $249,999",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Protestant,Protestant,Protestant,Protestant,Protestant
58633,,,,,,,,,,,,,,,,,,,Divorced or living apart,53.0,53.0,,,,,2.0,0.0,2.0,No,third born,"$25,000 - $49,999",College/Univeristy degree,High school graduate,1 parent no college,,,1.0,,,,,,1.0,,,,1.0,1.0,Black,Black,Both parents same race,Catholic,Other Religion,Catholic,,
27306,,1.0,,1.0,,,,,,,1.0,,,,,,,,Living together,50.0,50.0,,,,,2.0,0.0,2.0,No,third born,"$100,000 - $149,999",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
80607,,,,,,,1.0,,1.0,,,,,,1.0,,1.0,,,,,1933.0,2015.0,,2001.0,0.0,1.0,1.0,No,second born,,Postsecondary school  or some college,College/Univeristy degree,1 parent no college,,,,,,1.0,,,,1.0,,,1.0,1.0,White,Latino,Parents different race,,,Catholic,,
73143,,,,,,,,1.0,,,,1.0,,1.0,,,1.0,,Living together,58.0,54.0,,,,,1.0,1.0,2.0,No,first born,"$150,000 - $199,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,1.0,,1.0,,,,,,1.0,1.0,2.0,multiracial,White,1 or both parents multi-racial,Catholic,Catholic,Catholic,,
35797,,,,,,,,,,1.0,1.0,,,,,,1.0,,Divorced or living apart,58.0,55.0,,,,,0.0,2.0,2.0,No,second born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Protestant,Protestant,Protestant,,
46365,,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,Living together,57.0,54.0,,,,,4.0,0.0,4.0,No,fourth born,"$100,000 - $149,999",Graduate or professional degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
30596,,,1.0,,,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,Living together,60.0,50.0,,,,,1.0,1.0,2.0,No,second born,"less than $25,000",Graduate or professional degree,Graduate or professional degree,both parent college,,1.0,,,,,,1.0,,,,,1.0,1.0,Asian-American,Asian-American,Both parents same race,Catholic,Catholic,Catholic,,
31045,,,1.0,,,,,,,,,1.0,,1.0,,,,,Living together,50.0,50.0,,,,,1.0,1.0,2.0,No,third born,"$250,000 or more",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,No Religion,,
74492,1.0,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,Living together,56.0,56.0,,,,,0.0,1.0,1.0,No,second born,"$200,000 - $249,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
76791,,,,,1.0,,,,,,,,,,,,,,Living together,50.0,48.0,,,,,1.0,1.0,2.0,No,second born,"$250,000 or more",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
21348,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Living together,58.0,57.0,,,,,0.0,0.0,0.0,No,only child,"$100,000 - $149,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,1.0,,,,,,1.0,,1.0,1.0,Other,Other,Both parents same race,Catholic,Catholic,Catholic,,
23287,,,,1.0,,,,,,,1.0,1.0,,1.0,,,1.0,,Living together,,,,,,,1.0,1.0,2.0,No,third born,,College/Univeristy degree,Postsecondary school  or some college,1 parent no college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,
14763,,,,,,,,,,,,,,,,,,,Living together,56.0,51.0,,,,,1.0,0.0,1.0,No,first born,"$150,000 - $199,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Other Religion,No Religion,,
22066,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,Living together,58.0,58.0,,,,,2.0,2.0,4.0,No,fourth born,"$200,000 - $249,999",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
64058,,,,,,,,,,1.0,,,,,,1.0,,1.0,Living together,51.0,53.0,,,,,0.0,2.0,2.0,No,second born,"$150,000 - $199,999",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,No Religion,,
28247,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Living together,56.0,51.0,,,,,1.0,1.0,2.0,No,second born,"$100,000 - $149,999",Postsecondary school  or some college,Graduate or professional degree,1 parent no college,,1.0,,,,,,1.0,,,,,1.0,1.0,Asian-American,Asian-American,Both parents same race,Other Religion,Other Religion,Other Religion,Other Religion,
72873,,,,,,,,,,,,,,,,,,,Living together,53.0,43.0,,,,,0.0,1.0,1.0,No,first born,"$100,000 - $149,999",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
67544,,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,Living together,61.0,56.0,,,,,1.0,0.0,1.0,No,second born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
76810,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,Divorced or living apart,52.0,48.0,,,,,1.0,0.0,1.0,No,second born,"less than $25,000",Graduate or professional degree,Graduate or professional degree,both parent college,,1.0,,,,,,1.0,,,,,1.0,1.0,Asian-American,Asian-American,Both parents same race,Catholic,No Religion,Catholic,,
51760,1.0,,,1.0,1.0,,,,,,1.0,,1.0,,1.0,,,,Living together,57.0,55.0,,,,,0.0,2.0,2.0,No,first born,"$150,000 - $199,999",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
72806,,,,,,,,,,,,,,,,,,,Divorced or living apart,56.0,55.0,,,,,0.0,0.0,0.0,No,only child,"$250,000 or more",Graduate or professional degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,No Religion,No Religion,No Religion,No Religion,No Religion
98766,,,,,,,,,,,1.0,,,,,,,,Living together,54.0,53.0,,,,,1.0,1.0,2.0,No,first born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Protestant,Protestant,Protestant,,
23042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60997,,,,,,,,,,,,,,,1.0,,,,Divorced or living apart,55.0,53.0,,,,,1.0,3.0,4.0,No,second born,"$150,000 - $199,999",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,No Religion,No Religion,
36038,,,,,,,,,,,,,,,,,,,Living together,45.0,49.0,,,,,1.0,2.0,3.0,No,first born,"$100,000 - $149,999",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
