egoid,Extraversion_1,Agreeableness_1,Conscientiousness_1,Neuroticism_1,Openness_1,Extraversion_2,Agreeableness_2,Conscientiousness_2,Neuroticism_2,Openness_2,Extraversion_6,Agreeableness_6,Conscientiousness_6,Neuroticism_6,Openness_6,Extraversion_8,Agreeableness_8,Conscientiousness_8,Neuroticism_8,Openness_8
88967,4.25,3.1111112,3.3333333,2.875,4.0999999,3.875,3.8888888,3.3333333,3.0,4.2222223,,,,,,,,,,
46701,3.0,4.6666665,3.7777777,1.75,2.9000001,,,,,,,,,,,,,,,
83566,1.875,4.0,4.2222223,4.125,2.4000001,2.0,3.8888888,3.7777777,4.125,2.6666667,2.25,3.8888888,3.5555556,3.5,2.5555556,2.25,3.8888888,3.6666667,3.75,2.8888888
21090,3.0,4.3333335,4.3333335,2.375,3.8,3.5,4.4444447,4.1111112,2.125,4.3333335,3.125,4.3333335,4.2222223,2.125,4.1111112,3.5,4.1111112,4.2222223,1.875,4.5555553
69419,3.0,3.5555556,3.6666667,3.375,3.5,,,,,,,,,,,,,,,
87032,2.625,4.2222223,4.0,3.25,3.7,2.625,3.6666667,3.4444444,3.5,4.2222223,,,,,,,,,,
94641,2.125,3.7777777,2.6666667,4.0,4.1999998,2.25,4.2222223,3.0,4.125,4.4444447,2.625,3.8888888,4.0,2.75,4.4444447,2.125,3.2222223,3.3333333,3.375,4.1111112
82728,1.875,4.5555553,5.0,2.875,3.0999999,2.125,4.3333335,4.1111112,3.125,3.2222223,2.0,4.3333335,4.3333335,3.5,3.1111112,,,,,
45076,3.375,3.6666667,4.1111112,2.375,3.3,3.25,4.1111112,3.6666667,2.75,3.2222223,3.0,3.1111112,4.3333335,2.5,3.3333333,3.25,3.8888888,4.0,3.125,3.6666667
58437,4.375,3.5555556,3.2222223,2.0,3.5,4.125,3.4444444,3.2222223,3.125,3.4444444,4.375,3.8888888,3.1111112,1.625,3.3333333,,,,,
94862,3.5,3.5555556,3.6666667,2.75,2.9000001,,,,,,,,,,,,,,,
14606,3.25,4.6666665,4.5555553,1.625,3.0,,,,,,2.875,4.2222223,4.4444447,1.875,3.1111112,,,,,
64075,3.0,4.0,3.4444444,3.375,4.0,,,,,,3.875,4.2222223,3.5555556,2.625,4.2222223,,,,,
39787,3.375,3.2222223,3.8888888,3.25,3.0,3.375,3.1111112,3.8888888,2.625,3.1111112,,,,,,,,,,
82376,3.625,3.6666667,4.0,2.375,3.7,3.625,4.1111112,4.0,2.25,4.3333335,,,,,,,,,,
44872,3.125,4.2222223,3.7777777,3.25,3.4000001,3.125,4.1111112,3.8888888,2.625,3.6666667,3.5,4.2222223,3.5555556,2.125,3.5555556,3.5,3.8888888,3.5555556,2.5,3.7777777
87783,2.25,3.1111112,4.1111112,2.375,3.3,,,,,,,,,,,,,,,
22199,2.875,2.7777777,2.4444444,3.25,3.5999999,,,,,,,,,,,,,,,
47498,3.25,4.2222223,4.1111112,2.125,3.5,,,,,,,,,,,,,,,
57325,3.5,2.5555556,3.5555556,4.25,3.9000001,,,,,,3.75,3.4444444,4.5555553,4.25,4.2222223,3.125,3.5555556,4.6666665,4.875,4.5555553
53776,4.5,2.8888888,3.0,2.875,3.4000001,,,,,,,,,,,,,,,
58633,3.75,4.0,3.3333333,2.625,3.2,4.0,3.6666667,3.4444444,3.875,3.7777777,,,,,,,,,,
27306,4.5,4.4444447,4.4444447,3.125,2.9000001,4.0,4.4444447,4.2222223,3.5,3.1111112,4.5,4.6666665,4.6666665,2.0,2.8888888,4.5,4.6666665,4.7777777,2.125,2.8888888
80607,3.0,3.3333333,4.6666665,3.5,4.0999999,3.0,3.8888888,3.4444444,2.0,4.6666665,,,,,,,,,,
73143,3.625,4.0,3.8888888,2.75,2.4000001,2.625,3.8888888,4.0,3.375,2.5555556,,,,,,,,,,
35797,2.625,2.4444444,4.1111112,2.375,2.5,3.0,3.4444444,3.1111112,2.5,2.4444444,,,,,,,,,,
46365,3.875,3.2222223,3.8888888,2.625,2.9000001,3.5,3.6666667,3.4444444,2.75,3.5555556,3.5,3.4444444,4.0,2.875,3.5555556,4.25,3.6666667,3.8888888,2.375,3.0
30596,3.375,3.1111112,3.8888888,2.75,3.2,2.0,2.4444444,2.1111112,3.0,2.7777777,,,,,,,,,,
31045,3.5,2.8888888,3.1111112,2.375,3.3,,,,,,,,,,,,,,,
74492,3.625,3.8888888,4.2222223,3.25,2.9000001,,,,,,4.0,4.3333335,4.5555553,2.25,3.7777777,4.375,3.8888888,4.6666665,2.75,4.1111112
76791,2.875,3.8888888,3.4444444,4.0,3.3,,,,,,,,,,,,,,,
21348,3.625,4.4444447,3.5555556,2.5,4.3000002,3.625,4.5555553,3.6666667,2.5,4.8888888,,,,,,,,,,
23287,3.125,3.7777777,3.6666667,2.75,2.9000001,2.875,3.5555556,3.6666667,3.0,3.2222223,,,,,,,,,,
14763,3.625,3.3333333,4.1111112,3.875,2.8,,,,,,,,,,,,,,,
22066,3.875,3.3333333,3.0,2.75,2.3,3.875,3.4444444,2.8888888,2.625,2.5555556,,,,,,,,,,
64058,4.0,2.8888888,4.1111112,3.375,3.5999999,,,,,,,,,,,,,,,
28247,2.0,3.4444444,3.1111112,3.875,3.5999999,2.25,3.7777777,3.2222223,3.75,3.7777777,,,,,,,,,,
72873,3.0,3.6666667,4.3333335,2.75,2.5,2.75,4.0,4.0,2.25,3.0,,,,,,,,,,
67544,3.75,4.7777777,3.1111112,2.5,3.5999999,,,,,,,,,,,,,,,
76810,4.125,3.8888888,3.4444444,2.75,3.2,,,,,,,,,,,,,,,
51760,2.875,3.3333333,3.8888888,2.125,3.3,,,,,,3.125,2.8888888,4.1111112,1.875,4.6666665,3.125,3.1111112,4.1111112,1.5,4.2222223
72806,4.375,3.6666667,4.1111112,2.125,3.0,4.75,3.5555556,3.3333333,2.625,3.4444444,4.375,3.8888888,3.7777777,2.375,3.1111112,4.25,4.0,3.5555556,2.125,3.6666667
98766,4.375,3.7777777,4.4444447,1.75,2.5999999,3.75,3.8888888,4.6666665,2.75,2.3333333,4.375,3.7777777,4.6666665,1.875,2.3333333,,,,,
23042,,,,,,,,,,,,,,,,,,,,
60997,2.75,3.0,2.6666667,3.25,1.7,,,,,,2.5,2.0,2.6666667,2.75,1.8888888,,,,,
36038,3.625,2.6666667,3.5555556,3.375,3.5999999,3.25,3.5555556,3.6666667,3.0,3.7777777,3.75,3.7777777,3.8888888,3.5,3.2222223,3.625,3.2222223,3.7777777,3.875,3.2222223
39146,2.125,3.5555556,2.7777777,2.875,3.0999999,2.25,3.5555556,3.2222223,3.0,3.4444444,1.375,3.3333333,3.0,2.75,3.4444444,,,,,
60963,2.0,4.1111112,4.2222223,3.625,3.0,1.875,4.0,3.7777777,3.625,3.3333333,,,,,,,,,,
67918,2.375,3.3333333,4.0,2.125,2.7,2.375,3.5555556,3.5555556,2.25,3.4444444,2.125,3.5555556,3.8888888,2.25,3.8888888,2.25,3.6666667,4.0,2.125,3.1111112
34467,2.5,3.8888888,3.6666667,3.125,3.5999999,2.625,3.8888888,3.8888888,3.0,3.3333333,3.0,3.8888888,4.1111112,3.25,3.4444444,2.5,3.8888888,3.8888888,3.0,3.6666667
42132,4.625,3.5555556,4.3333335,2.625,3.0,,,,,,,,,,,,,,,
41268,3.625,3.7777777,3.5555556,3.375,3.0,,,,,,,,,,,,,,,
90692,4.5,4.8888888,3.8888888,1.75,4.0999999,,,,,,,,,,,,,,,
32668,4.0,2.8888888,4.1111112,2.5,4.0999999,4.125,2.6666667,3.2222223,3.5,3.4444444,3.125,2.7777777,3.7777777,3.0,4.3333335,,,,,
24079,3.375,4.3333335,2.8888888,2.75,3.5,,,,,,2.875,3.2222223,2.5555556,2.75,3.4444444,,,,,
59673,3.625,4.0,3.3333333,2.25,4.0,2.875,4.1111112,3.5555556,1.875,4.3333335,4.125,4.2222223,3.1111112,1.875,4.0,,,,,
74899,3.5,3.3333333,4.3333335,3.25,3.5999999,3.25,3.5555556,3.1111112,3.5,2.7777777,4.25,4.1111112,3.3333333,3.875,2.7777777,3.875,3.8888888,3.2222223,3.125,3.3333333
48891,3.375,4.2222223,3.2222223,1.75,2.7,,,,,,,,,,,,,,,
81807,4.25,4.4444447,4.2222223,1.625,4.0,4.0,4.4444447,3.8888888,1.5,4.4444447,4.0,4.5555553,4.2222223,2.25,4.3333335,,,,,
77187,2.5,4.8888888,3.6666667,2.375,3.5,2.125,4.0,2.8888888,3.75,3.5555556,,,,,,,,,,
91176,2.5,4.1111112,3.4444444,2.25,3.2,2.25,4.1111112,3.1111112,2.625,3.7777777,2.5,3.7777777,2.4444444,3.25,2.8888888,,,,,
22292,4.0,3.2222223,3.1111112,2.25,3.0,,,,,,,,,,,,,,,
35011,4.0,3.4444444,4.1111112,3.25,3.3,4.5,3.6666667,4.2222223,2.875,3.5555556,4.125,3.5555556,3.8888888,3.125,3.5555556,,,,,
76785,3.125,4.1111112,3.3333333,3.0,2.8,,,,,,,,,,,,,,,
60903,4.25,3.0,3.4444444,2.75,3.9000001,,,,,,,,,,,,,,,
10115,3.25,4.7777777,4.6666665,1.75,3.3,,,,,,,,,,,,,,,
35416,1.75,3.1111112,3.1111112,3.75,2.9000001,1.625,3.2222223,2.7777777,4.25,3.2222223,1.5,3.0,2.4444444,4.5,3.0,,,,,
89710,2.875,3.1111112,4.1111112,2.875,3.9000001,4.0,3.3333333,4.2222223,2.625,3.6666667,3.5,3.7777777,3.5555556,2.625,3.2222223,,,,,
97596,2.875,3.4444444,4.5555553,3.75,2.5999999,2.875,3.8888888,4.0,3.25,3.1111112,2.625,3.4444444,3.7777777,3.5,3.3333333,3.0,3.3333333,2.5555556,3.0,3.4444444
39129,2.875,2.8888888,3.5555556,3.0,2.9000001,,,,,,,,,,,,,,,
57359,3.125,3.3333333,3.0,3.0,2.8,3.25,2.8888888,3.6666667,3.0,2.7777777,3.125,3.3333333,3.2222223,2.875,2.5555556,3.625,3.3333333,3.3333333,2.75,2.3333333
17308,3.125,3.5555556,3.5555556,2.875,2.7,3.0,4.0,3.7777777,2.625,3.2222223,3.0,3.5555556,3.6666667,2.875,3.3333333,2.625,3.7777777,3.8888888,3.375,3.6666667
51851,4.75,4.1111112,4.4444447,2.25,3.0,4.375,3.8888888,4.2222223,2.25,3.7777777,,,,,,,,,,
35855,4.5,3.6666667,3.7777777,1.625,2.8,4.4000001,4.0,3.5999999,1.4,3.6666667,,,,,,,,,,
67334,2.25,3.5555556,3.5555556,3.125,3.9000001,2.375,3.3333333,3.4444444,3.875,3.8888888,,,,,,,,,,
60230,2.625,3.1111112,4.7777777,3.75,3.8,2.125,2.3333333,3.6666667,4.875,3.4444444,,,,,,,,,,
77838,3.625,4.4444447,4.2222223,2.875,2.0999999,4.5,4.0,4.1111112,2.125,2.5555556,,,,,,,,,,
37371,3.75,3.8888888,4.2222223,3.25,3.5,,,,,,,,,,,,,,,
57292,2.75,4.4444447,4.2222223,2.25,3.2,2.875,4.2222223,3.6666667,2.25,3.7777777,,,,,,,,,,
66406,1.5,4.2222223,3.5555556,3.0,4.0,,,,,,,,,,,,,,,
90447,1.75,3.1111112,3.0,3.0,2.9000001,,,,,,,,,,,,,,,
56798,4.5,4.3333335,4.2222223,2.25,3.9000001,4.25,4.2222223,4.1111112,2.25,4.1111112,,,,,,,,,,
28827,4.0,4.2222223,3.6666667,2.5,4.0,,,,,,,,,,,,,,,
23115,3.5,3.7777777,4.1111112,2.125,3.0999999,3.5,4.0,3.8888888,1.875,3.4444444,,,,,,,,,,
77872,3.5,3.7777777,4.2222223,2.75,3.0999999,3.125,4.0,4.0,3.0,3.6666667,3.75,4.1111112,3.8888888,2.625,3.8888888,,,,,
43114,3.5,3.6666667,3.3333333,2.125,3.0,3.75,3.6666667,3.3333333,2.0,3.2222223,,,,,,,,,,
72348,2.0,3.8888888,4.3333335,3.0,3.0,2.25,4.0,4.2222223,2.75,4.0,2.0,3.7777777,3.8888888,3.0,3.5555556,2.125,3.5555556,3.8888888,2.625,3.1111112
15707,2.375,4.3333335,2.8888888,3.625,3.5999999,,,,,,,,,,,,,,,
45776,4.125,2.7777777,2.8888888,4.0,3.7,,,,,,,,,,,,,,,
63122,3.75,3.5555556,4.3333335,1.0,3.0,3.5,3.1111112,4.0,1.25,3.1111112,,,,,,,,,,
27169,3.75,3.5555556,4.4444447,3.5,1.9,,,,,,,,,,,,,,,
89607,3.125,3.0,3.1111112,2.625,3.2,4.0,1.8888888,4.5555553,3.5,4.1111112,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
59900,3.0,4.5555553,3.7777777,2.75,3.0,3.25,3.8888888,3.7777777,2.75,3.4444444,,,,,,,,,,
28254,2.875,4.0,3.8888888,2.125,2.7,2.625,4.0,3.8888888,2.25,3.2222223,,,,,,,,,,
56480,3.625,3.8888888,3.1111112,3.125,2.9000001,3.625,3.8888888,2.8888888,3.5,3.6666667,,,,,,,,,,
11128,4.125,4.3333335,3.3333333,2.25,4.0,3.75,4.1111112,3.4444444,2.875,4.6666665,,,,,,,,,,
47886,2.75,3.2222223,3.7777777,2.625,3.3,3.0,3.5555556,3.8888888,2.625,4.1111112,,,,,,,,,,
28820,2.125,2.8888888,2.8888888,3.25,2.8,,,,,,2.0,2.7777777,2.6666667,3.375,3.1111112,2.125,2.7777777,2.6666667,3.0,3.2222223
35347,3.125,2.5555556,3.8888888,2.0,2.7,3.0,2.4444444,3.5555556,2.5,3.1111112,2.75,2.7777777,3.7777777,2.625,3.0,,,,,
45641,3.0,4.1111112,3.5555556,2.875,2.8,2.75,4.0,3.0,2.875,3.0,2.875,2.8888888,3.3333333,3.875,3.4444444,,,,,
25369,3.25,3.5555556,3.2222223,3.0,3.0,,,,,,,,,,,,,,,
64572,3.875,3.8888888,3.6666667,2.75,3.4000001,3.75,4.0,3.6666667,2.75,3.6666667,,,,,,,,,,
31538,3.75,4.0,4.1111112,2.625,3.2,4.125,4.4444447,4.1111112,2.375,4.0,,,,,,,,,,
73452,4.25,4.2222223,3.2222223,1.75,3.0,,,,,,3.0,3.8888888,3.1111112,2.125,3.1111112,,,,,
51475,2.125,3.3333333,3.5555556,2.625,2.8,2.375,3.5555556,3.8888888,3.25,3.3333333,,,,,,1.875,3.3333333,3.5555556,3.0,3.2222223
28312,3.0,3.8888888,3.6666667,2.625,2.8,2.5,4.2222223,3.6666667,2.75,3.2222223,2.375,3.5555556,4.2222223,2.625,2.5555556,,,,,
13486,4.375,3.6666667,4.1111112,2.0,2.5999999,,,,,,3.5,3.2222223,3.2222223,3.5,4.1111112,3.0,3.0,3.0,3.0,3.0
56805,3.75,4.6666665,4.2222223,1.875,4.0999999,4.0,4.2222223,3.4444444,1.875,4.0,3.25,3.0,3.4444444,2.625,3.3333333,,,,,
57697,4.0,3.8888888,4.0,3.875,3.9000001,3.875,3.5555556,4.0,3.5,3.7777777,,,,,,,,,,
54837,2.875,4.5555553,4.8888888,2.0,3.7,,,,,,,,,,,,,,,
29718,4.0,4.3333335,4.1111112,2.75,3.5,,,,,,,,,,,,,,,
26800,2.25,4.4444447,4.3333335,1.75,1.8,2.5,4.6666665,4.2222223,2.0,2.5555556,3.625,3.8888888,4.3333335,2.625,2.7777777,,,,,
60493,1.5,4.2222223,3.6666667,2.75,2.0999999,,,,,,1.25,3.7777777,3.6666667,3.125,2.5555556,1.375,3.5555556,3.5555556,2.5,2.6666667
52051,3.625,3.5555556,4.3333335,2.25,2.2,3.625,3.1111112,4.5555553,2.5,3.0,,,,,,,,,,
30972,2.375,4.2222223,3.0,3.5,3.3,,,,,,,,,,,,,,,
47142,3.625,3.8888888,3.7777777,2.625,3.4000001,3.25,3.4444444,3.6666667,3.0,3.6666667,,,,,,,,,,
69217,3.375,4.6666665,3.8888888,2.625,3.5999999,,,,,,,,,,,,,,,
69009,4.125,3.8888888,3.8888888,2.875,3.4000001,3.875,4.2222223,2.8888888,2.625,3.2222223,,,,,,,,,,
84390,4.375,4.2222223,3.2222223,2.75,3.2,4.75,4.1111112,3.1111112,3.0,3.7777777,4.375,4.5555553,3.3333333,2.625,3.7777777,4.875,4.7777777,3.6666667,2.0,3.8888888
74845,4.0,4.1111112,4.7777777,1.75,4.3000002,,,,,,3.25,3.4444444,4.2222223,2.0,3.6666667,,,,,
90905,2.125,4.4444447,2.3333333,3.5,4.0,2.0,4.0,2.5555556,3.0,4.3333335,,,,,,,,,,
39659,4.25,4.2222223,4.4444447,2.0,3.0999999,4.5,4.2222223,3.5555556,2.625,3.2222223,,,,,,,,,,
62072,4.625,4.6666665,4.5555553,1.5,4.0,,,,,,,,,,,,,,,
60396,3.25,3.7777777,4.2222223,3.375,2.9000001,2.75,3.6666667,4.4444447,3.375,3.0,3.125,3.2222223,4.4444447,3.25,2.8888888,,,,,
61084,4.875,4.6666665,4.2222223,2.875,3.4000001,4.5,4.8888888,4.2222223,2.75,3.7777777,,,,,,,,,,
92412,2.625,3.8888888,4.6666665,1.875,3.0999999,2.125,3.6666667,4.1111112,1.875,3.1111112,2.875,4.5555553,4.7777777,2.5,3.6666667,2.25,4.4444447,4.8888888,1.75,3.5555556
92038,3.625,3.7777777,4.5555553,1.875,3.5,3.5,3.3333333,4.5555553,2.375,4.0,3.75,3.3333333,4.3333335,2.0,4.1111112,3.5,3.4444444,4.6666665,2.0,4.1111112
33388,2.625,2.7777777,2.8888888,2.75,2.3,2.125,2.6666667,2.4444444,2.75,3.4444444,,,,,,,,,,
31717,4.625,3.4444444,3.1111112,3.0,2.8,4.125,3.4444444,3.0,3.625,3.0,,,,,,,,,,
18324,5.0,4.4444447,3.4444444,3.0,3.9000001,,,,,,,,,,,,,,,
86440,2.125,2.5555556,4.2222223,2.125,2.8,1.625,3.3333333,3.6666667,2.625,3.0,2.0,3.4444444,3.7777777,2.625,2.4444444,2.0,3.4444444,4.0,2.25,2.6666667
95585,2.5,3.3333333,3.0,3.375,3.0999999,2.25,3.8888888,3.6666667,3.375,3.4444444,2.5,3.7777777,3.4444444,3.5,3.5555556,2.75,4.4444447,3.6666667,2.75,3.7777777
29792,3.5,3.3333333,2.6666667,2.875,4.3000002,3.375,3.1111112,2.6666667,2.75,4.4444447,,,,,,,,,,
14737,3.125,3.8888888,3.2222223,3.125,3.7,2.375,3.8888888,2.8888888,3.375,4.0,2.875,3.2222223,3.1111112,3.0,3.5555556,3.0,3.5555556,3.0,3.125,3.7777777
28223,3.25,3.2222223,3.3333333,1.25,3.4000001,,,,,,2.875,3.7777777,3.3333333,1.625,3.4444444,,,,,
85708,3.375,3.1111112,2.7777777,2.125,4.0999999,,,,,,,,,,,,,,,
55452,3.0,3.1111112,3.1111112,3.875,3.4000001,2.875,2.8888888,3.0,4.0,3.4444444,,,,,,,,,,
20179,4.125,3.6666667,3.8888888,2.375,3.3,4.0,3.5555556,3.5555556,2.125,3.7777777,4.125,4.1111112,3.8888888,2.0,3.7777777,,,,,
78339,3.125,2.7777777,3.1111112,2.375,3.2,,,,,,,,,,,,,,,
23696,3.875,4.6666665,3.1111112,3.625,4.1999998,4.375,4.1111112,3.0,3.375,4.6666665,,,,,,,,,,
28653,4.25,4.4444447,4.8888888,3.0,3.5999999,3.25,4.7777777,4.8888888,3.375,3.4444444,4.0,4.5555553,4.0,3.5,3.2222223,4.125,4.7777777,4.4444447,2.875,3.8888888
84715,2.25,2.3333333,3.2222223,3.375,3.0,1.375,2.7777777,3.2222223,4.375,3.6666667,,,,,,,,,,
95559,2.625,4.1111112,3.6666667,2.375,2.9000001,2.875,3.6666667,3.3333333,2.0,2.7777777,2.875,3.4444444,4.3333335,1.875,3.1111112,2.75,3.2222223,3.4444444,2.0,2.7777777
30152,3.25,3.2222223,3.4444444,2.625,3.5,2.75,3.1111112,3.1111112,3.625,3.8888888,2.125,3.7777777,3.7777777,2.5,4.0,,,,,
68764,3.0,3.1111112,3.8888888,2.625,3.0,2.75,3.7777777,4.0,2.875,3.5555556,,,,,,,,,,
60367,3.75,3.6666667,3.0,2.875,3.0,,,,,,3.5,3.2222223,3.2222223,3.5,4.1111112,3.625,3.5555556,3.4444444,3.375,3.6666667
36939,2.75,3.5555556,3.0,2.75,2.5999999,,,,,,,,,,,,,,,
59592,3.0,3.7777777,2.7777777,4.0,3.3,3.0,3.6666667,2.8888888,3.75,3.3333333,3.0,3.7777777,2.8888888,3.25,3.3333333,3.25,3.6666667,3.2222223,3.375,3.2222223
22897,2.625,3.3333333,3.4444444,3.25,3.3,,,,,,3.0,3.4444444,3.5555556,2.875,3.5555556,3.25,3.7777777,3.6666667,2.875,3.7777777
89652,2.875,4.1111112,3.8888888,2.75,3.3,3.0,4.5555553,3.8888888,2.125,3.4444444,2.375,4.3333335,3.3333333,2.75,3.3333333,2.25,4.1111112,3.1111112,3.375,3.3333333
28724,3.25,3.5555556,4.0,3.375,3.0,2.625,4.1111112,4.0,3.875,3.4444444,3.25,4.0,4.4444447,4.0,3.1111112,,,,,
92895,3.75,3.5555556,3.5555556,2.875,2.9000001,,,,,,,,,,,,,,,
69831,3.0,4.0,3.4444444,2.375,3.4000001,2.875,3.7777777,3.0,2.75,3.7777777,3.25,3.7777777,3.3333333,2.875,3.5555556,,,,,
59178,3.75,3.7777777,4.6666665,2.75,3.0999999,4.0,4.1111112,4.7777777,3.375,3.2222223,,,,,,,,,,
50072,3.625,3.7777777,3.7777777,3.125,3.5999999,,,,,,2.875,3.7777777,3.1111112,3.75,3.5555556,3.25,3.7777777,3.7777777,2.5,4.3333335
44927,2.75,3.8888888,3.8888888,3.0,2.5,2.625,3.8888888,3.6666667,3.0,3.0,2.625,3.7777777,3.8888888,2.875,3.2222223,2.5,3.8888888,4.0,3.0,2.7777777
71894,2.5,2.8888888,2.7777777,3.875,3.0999999,1.5,2.4444444,2.4444444,4.0,3.6666667,2.75,3.3333333,2.0,3.75,3.3333333,,,,,
76790,4.875,3.0,3.6666667,3.625,3.2,,,,,,,,,,,,,,,
78428,3.0,2.7777777,2.8888888,4.125,2.3,,,,,,,,,,,,,,,
66676,1.625,4.4444447,3.2222223,2.625,2.7,,,,,,2.0,4.3333335,3.0,2.875,3.2222223,1.625,4.1111112,2.6666667,3.375,2.8888888
95930,3.625,3.5555556,4.0,2.875,2.8,,,,,,3.75,3.5555556,3.8888888,3.0,3.2222223,3.5,3.0,3.0,2.0,4.0
70962,3.875,3.6666667,2.8888888,2.125,3.5,,,,,,3.375,3.8888888,2.5555556,2.5,3.1111112,3.375,3.7777777,2.6666667,2.25,3.0
12738,2.75,2.3333333,2.5555556,3.375,3.3,,,,,,,,,,,,,,,
29647,2.125,4.0,3.7777777,3.0,2.0999999,,,,,,,,,,,,,,,
