egoid,Trust_1_5,Trust_2_5,Trust_3_5,Trust_4_5,Trust_5_5,Trust_6_5,Trust_5,lonely_1_5,lonely_2_5,lonely_3_5,lonely_4_5,lonely_5_5,lonely_6_5,lonely_7_5,lonely_8_5,lonely_9_5,lonely_10_5,lonely_11_5,lonely_12_5,lonely_13_5,lonely_14_5,lonely_15_5,selsa_rom_5,selsa_fam_5,selsa_soc_5,SelfEff_exercise_1_5,SelfEff_exercise_2_5,SelfEff_exercise_3_5,SelfEff_exercise_4_5,SelfEff_exercise_5_5,SelfEff_exercise_6_5,SelfEff_exercise_7_5,SelfEff_exercise_8_5,SelfEff_exercise_9_5,SelfEff_exercise_10_5,SelfEff_exercise_11_5,SelfEff_exercise_12_5,SelfEff_exercise_13_5,SelfEff_exercise_14_5,SelfEff_exercise_15_5,SelfEff_exercise_16_5,SelfEff_exercise_17_5,SelfEff_exercise_18_5,SelfEff_exercise_scale_5
46558,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,3.3333333,Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Somewhat Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,-0.34469497,0.10069946,0.23777704,62.0,40.0,52.0,32.0,71.0,34.0,60.0,21.0,58.0,55.0,57.0,58.0,51.0,63.0,26.0,69.0,76.0,22.0,50.388889
24016,,,,,,,3.3333333,,,,,,,,,,,,,,,,0.33236833,-0.388911725,-0.138757305,50.0,41.0,71.0,43.5,58.0,53.0,61.0,50.0,40.0,74.0,32.0,39.0,46.0,71.0,76.0,45.5,30.0,60.0,51.111111
52277,,,,,,,3.3333333,,,,,,,,,,,,,,,,0.33236833,-0.388911725,-0.138757305,50.0,41.0,71.0,43.5,58.0,53.0,61.0,50.0,40.0,74.0,32.0,39.0,46.0,71.0,76.0,45.5,30.0,60.0,51.111111
93699,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,3.6666667,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,1.1820039,-0.61221123,0.37903929,30.0,20.0,26.0,22.0,20.0,21.0,41.0,26.0,30.0,28.0,34.0,51.0,34.0,13.0,23.0,36.0,21.0,20.0,27.555555
36875,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,2.8333333,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,-1.5735527,-1.1485006,2.0114989,61.0,62.0,90.0,25.0,54.0,49.0,93.0,11.0,51.0,77.0,53.0,12.0,42.0,58.0,84.0,10.0,44.0,50.0,51.444443
84011,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,2.8333333,Disagree,Disagree,Somewhat Agree,Agree,Agree,Disagree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Agree,Disagree,Agree,Agree,0.64674306,0.0063678836,0.48048827,70.0,51.0,89.0,71.0,36.0,71.0,71.0,46.0,92.0,70.0,26.0,46.0,72.0,87.0,47.0,48.0,24.0,76.0,60.722221
90646,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,3.5,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,0.39941096,-0.50880903,-0.91666687,78.0,61.0,100.0,26.0,70.0,10.0,87.0,32.0,100.0,100.0,29.0,83.0,30.0,100.0,100.0,99.0,20.0,62.0,65.944443
88008,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,2.8333333,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,-1.5463121,-0.29521796,1.240205,51.0,65.0,77.0,76.0,91.0,40.0,36.0,82.0,79.0,85.0,84.0,25.0,46.0,69.0,81.0,51.0,29.0,77.0,63.555557
88967,,,,,,,3.3333333,,,,,,,,,,,,,,,,0.33236833,-0.388911725,-0.138757305,50.0,41.0,71.0,43.5,58.0,53.0,61.0,50.0,40.0,74.0,32.0,39.0,46.0,71.0,76.0,45.5,30.0,60.0,51.111111
46701,,,,,,,3.3333333,,,,,,,,,,,,,,,,0.33236833,-0.388911725,-0.138757305,50.0,41.0,71.0,43.5,58.0,53.0,61.0,50.0,40.0,74.0,32.0,39.0,46.0,71.0,76.0,45.5,30.0,60.0,51.111111
83566,Agree,Agree,Disagree,Agree,Agree,Agree,3.3333333,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Disagree,Agree,Strongly Disagree,Somewhat Agree,Agree,0.95630431,0.84418494,0.76755869,19.0,0.0,10.0,43.5,50.0,50.0,40.0,50.0,40.0,80.0,30.0,50.0,40.0,50.0,80.0,80.0,40.0,40.0,44.058823
21090,Agree,Neither Agree nor Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,3.8333333,Somewhat Agree,Somewhat Agree,Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,-0.8436414,-0.52337581,-0.81562895,1.0,1.0,5.0,2.0,10.0,8.0,10.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,16.0,1.0,3.0,15.0,5.0
69419,,,,,,,3.3333333,,,,,,,,,,,,,,,,0.33236833,-0.388911725,-0.138757305,50.0,41.0,71.0,43.5,58.0,53.0,61.0,50.0,40.0,74.0,32.0,39.0,46.0,71.0,76.0,45.5,30.0,60.0,51.111111
87032,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,2.8333333,Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,-0.89043528,0.35210904,1.3288023,14.0,18.0,53.0,5.0,5.0,38.0,44.0,47.0,12.0,44.0,7.0,41.0,42.0,32.0,60.0,52.0,14.0,54.0,32.333332
94641,Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,2.3333333,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,0.81434721,5.3855996,1.5352206,0.0,0.0,50.0,70.0,0.0,0.0,0.0,70.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,13.888889
82728,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,3.6666667,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,0.4443188,-0.52781683,-0.93687642,51.0,22.0,77.0,68.0,32.0,15.0,18.0,80.0,42.0,82.0,21.0,30.0,72.0,85.0,52.0,86.0,23.0,24.0,48.888889
45076,Agree,Agree,Disagree,Agree,Disagree,Agree,3.6666667,Disagree,Disagree,Agree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Agree,Disagree,Agree,Agree,0.7742275,0.16655079,1.0169977,50.0,64.0,86.0,78.0,48.0,21.0,26.0,74.0,67.0,55.0,6.0,3.0,79.0,93.0,98.0,6.0,15.0,13.0,49.0
58437,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,3.0,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,1.0115421,0.14289701,0.11162633,85.0,70.0,91.0,84.0,69.0,84.0,71.0,90.0,88.0,89.0,92.0,84.0,80.0,88.0,92.0,91.0,91.0,79.0,84.333336
94862,Agree,Agree,Disagree,Agree,Agree,Agree,3.3333333,Somewhat Agree,Somewhat Agree,Disagree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,-0.64259547,-0.82640415,0.44005135,55.0,92.0,94.0,36.0,93.0,84.0,89.0,50.0,85.0,95.0,95.0,51.0,86.0,98.0,70.0,58.0,71.0,95.0,77.611115
14606,Agree,Agree,Disagree,Agree,Agree,Agree,3.3333333,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,0.99815667,-0.62965751,-0.61527127,91.0,91.0,100.0,81.0,89.0,90.0,89.0,82.0,81.0,90.0,82.0,82.0,87.0,85.0,85.0,89.0,87.0,87.0,87.111115
64075,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,3.3333333,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1.3433464,-0.59166348,-0.82512647,70.0,20.0,100.0,37.0,71.0,30.0,99.0,95.0,39.0,19.0,20.0,14.0,18.0,98.0,49.0,12.0,22.0,100.0,50.722221
39787,Agree,Agree,Disagree,Agree,Agree,Agree,3.3333333,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,1.0830195,1.1272261,0.74608201,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
82376,,,,,,,3.3333333,,,,,,,,,,,,,,,,0.33236833,-0.388911725,-0.138757305,50.0,41.0,71.0,43.5,58.0,53.0,61.0,50.0,40.0,74.0,32.0,39.0,46.0,71.0,76.0,45.5,30.0,60.0,51.111111
44872,Agree,Disagree,Disagree,Agree,Agree,Agree,3.6666667,Strongly Disagree,Strongly Disagree,Agree,,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,0.33236833,-0.388911725,-0.138757305,80.0,91.0,50.0,50.0,100.0,94.0,99.0,48.0,47.0,90.0,90.0,28.0,54.0,88.0,92.0,72.0,92.0,93.0,75.444443
87783,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,3.5,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,-0.16908376,0.91630483,-0.11737218,22.0,31.0,17.0,15.0,14.0,13.0,14.0,9.0,9.0,11.0,16.0,12.0,17.0,58.0,68.0,20.0,17.0,11.0,20.777779
22199,,,,,,,3.3333333,,,,,,,,,,,,,,,,0.33236833,-0.388911725,-0.138757305,50.0,41.0,71.0,43.5,58.0,53.0,61.0,50.0,40.0,74.0,32.0,39.0,46.0,71.0,76.0,45.5,30.0,60.0,51.111111
47498,,,,,,,3.3333333,,,,,,,,,,,,,,,,0.33236833,-0.388911725,-0.138757305,50.0,41.0,71.0,43.5,58.0,53.0,61.0,50.0,40.0,74.0,32.0,39.0,46.0,71.0,76.0,45.5,30.0,60.0,51.111111
57325,Neither Agree nor Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,3.3333333,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,-1.40183,-0.52272415,-0.76933098,81.0,81.0,51.0,50.0,50.0,80.0,80.0,90.0,90.0,90.0,70.0,50.0,91.0,91.0,70.0,60.0,70.0,60.0,72.5
53776,,,,,,,3.3333333,,,,,,,,,,,,,,,,0.33236833,-0.388911725,-0.138757305,50.0,41.0,71.0,43.5,58.0,53.0,61.0,50.0,40.0,74.0,32.0,39.0,46.0,71.0,76.0,45.5,30.0,60.0,51.111111
58633,,,,,,,3.3333333,,,,,,,,,,,,,,,,0.33236833,-0.388911725,-0.138757305,50.0,41.0,71.0,43.5,58.0,53.0,61.0,50.0,40.0,74.0,32.0,39.0,46.0,71.0,76.0,45.5,30.0,60.0,51.111111
27306,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,4.1666665,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,-0.065601304,-0.5341658,-0.83670896,91.0,100.0,92.0,82.0,95.0,96.0,100.0,81.0,81.0,100.0,90.0,69.0,100.0,100.0,100.0,100.0,85.0,100.0,92.333336
80607,,,,,,,3.3333333,,,,,,,,,,,,,,,,0.33236833,-0.388911725,-0.138757305,50.0,41.0,71.0,43.5,58.0,53.0,61.0,50.0,40.0,74.0,32.0,39.0,46.0,71.0,76.0,45.5,30.0,60.0,51.111111
73143,,,,,,,3.3333333,,,,,,,,,,,,,,,,0.33236833,-0.388911725,-0.138757305,50.0,41.0,71.0,43.5,58.0,53.0,61.0,50.0,40.0,74.0,32.0,39.0,46.0,71.0,76.0,45.5,30.0,60.0,51.111111
35797,,,,,,,3.3333333,,,,,,,,,,,,,,,,0.33236833,-0.388911725,-0.138757305,50.0,41.0,71.0,43.5,58.0,53.0,61.0,50.0,40.0,74.0,32.0,39.0,46.0,71.0,76.0,45.5,30.0,60.0,51.111111
46365,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,3.3333333,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,-1.5351634,-0.55198103,0.35513851,21.0,20.0,18.0,3.0,2.0,29.0,22.0,10.0,15.0,2.0,8.0,11.0,12.0,15.0,15.0,8.0,9.0,20.0,13.333333
30596,,,,,,,3.3333333,,,,,,,,,,,,,,,,0.33236833,-0.388911725,-0.138757305,50.0,41.0,71.0,43.5,58.0,53.0,61.0,50.0,40.0,74.0,32.0,39.0,46.0,71.0,76.0,45.5,30.0,60.0,51.111111
31045,,,,,,,3.3333333,,,,,,,,,,,,,,,,0.33236833,-0.388911725,-0.138757305,50.0,41.0,71.0,43.5,58.0,53.0,61.0,50.0,40.0,74.0,32.0,39.0,46.0,71.0,76.0,45.5,30.0,60.0,51.111111
74492,Agree,Agree,Disagree,Agree,Agree,Agree,3.3333333,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,0.66443586,-0.76329398,0.0048898095,70.0,99.0,99.0,99.0,99.0,70.0,99.0,99.0,89.0,98.0,50.0,99.0,94.0,100.0,99.0,99.0,50.0,99.0,89.5
