egoid,yourelig_7
96613,Catholic
49014,Protestant
50766,No Religion
71089,Protestant
80980,Catholic
29115,Catholic
98462,Catholic
94455,Catholic
11148,Catholic
88384,Catholic
64302,Catholic
22688,No Religion
38815,Catholic
34525,No Religion
68404,Catholic
71836,Catholic
12748,Catholic
33445,Catholic
83078,Catholic
72160,Catholic
55569,Catholic
72885,Catholic
36574,Catholic
71193,Catholic
44070,Catholic
49010,Catholic
98760,Catholic
95374,Catholic
71985,Catholic
43125,No Religion
98117,No Religion
22989,Catholic
24883,Catholic
20650,Catholic
19460,Catholic
66815,Catholic
89161,Catholic
54956,Protestant
14847,No Religion
85453,Catholic
19827,Catholic
31121,Catholic
38683,Catholic
82918,Catholic
43382,Catholic
44344,Catholic
94215,Catholic
80675,Catholic
57144,Catholic
94662,Catholic
98700,Catholic
33341,Catholic
65072,Catholic
37148,Catholic
11910,Catholic
75438,Catholic
99733,Catholic
27407,Catholic
14250,Catholic
43794,No Religion
73918,Catholic
60216,Catholic
28681,Catholic
51437,Catholic
21932,Catholic
29733,Catholic
98206,Catholic
36385,Protestant
54030,Other Religion
67993,Catholic
96543,Catholic
49800,Catholic
29296,Catholic
11002,Catholic
72850,Catholic
15134,Other Religion
69124,Catholic
34062,Catholic
18111,Catholic
42646,Catholic
63922,Catholic
59097,Catholic
72912,Catholic
91484,Catholic
24833,Catholic
21971,Catholic
13928,Catholic
84502,Catholic
64090,Catholic
52123,Catholic
78783,Catholic
25197,Catholic
35872,Catholic
23270,Catholic
69807,Catholic
92716,Catholic
66061,Catholic
56058,Catholic
57854,Catholic
68679,Catholic
90750,Catholic
70125,Catholic
67192,Catholic
12029,No Religion
70745,Catholic
93856,Protestant
10237,No Religion
97448,Protestant
89165,Catholic
97280,Catholic
54098,Catholic
66156,No Religion
67177,Catholic
22540,Catholic
15586,Catholic
18611,Catholic
87328,Catholic
88963,Catholic
57045,Catholic
49497,No Religion
15031,Catholic
79607,Catholic
41952,Catholic
17183,Catholic
22408,Catholic
54435,Catholic
38554,Catholic
38293,Catholic
33785,Catholic
44310,Catholic
33009,Catholic
31294,Catholic
65143,Catholic
91726,Catholic
59355,Catholic
96184,Catholic
92339,Catholic
70005,Catholic
64157,Catholic
68050,Catholic
46151,Catholic
79395,Catholic
59863,Catholic
63419,Catholic
22913,Catholic
91313,Catholic
14511,Catholic
73962,Catholic
48969,Catholic
22093,Catholic
32919,Catholic
79731,Catholic
64296,Catholic
23487,Catholic
17569,Catholic
77036,Catholic
53518,Catholic
92340,Catholic
37485,Catholic
33953,Catholic
53333,Catholic
82986,Catholic
61772,Catholic
47280,Catholic
70566,Catholic
82964,Catholic
11402,No Religion
38610,Catholic
96610,Catholic
77711,Protestant
78667,Catholic
17020,Catholic
48676,Catholic
29885,Catholic
79167,Catholic
65061,Catholic
43710,Catholic
22455,Protestant
82819,Catholic
67771,Catholic
57443,Catholic
96469,Catholic
94579,Catholic
29257,Catholic
23518,Catholic
80484,Catholic
49539,Catholic
63904,Other Religion
82490,Catholic
20335,Catholic
35031,Catholic
88185,Catholic
35344,Catholic
31175,Catholic
41167,Catholic
98325,Catholic
36963,Catholic
50666,Catholic
98624,Catholic
42617,Catholic
58793,Catholic
25125,Catholic
25548,Catholic
25966,No Religion
96689,Catholic
43581,Catholic
75578,Catholic
43507,Catholic
91551,Catholic
19030,Catholic
33657,No Religion
76521,Catholic
52848,Catholic
40231,Catholic
65656,Catholic
36117,Catholic
82587,Protestant
14690,Catholic
40569,Catholic
26320,Catholic
77532,Protestant
92515,No Religion
97844,Catholic
33127,Catholic
45958,Catholic
49790,Catholic
74251,Catholic
28326,Catholic
20507,Catholic
71592,Catholic
15181,Catholic
70209,Catholic
78657,Catholic
21887,Catholic
48154,Other Religion
92953,Catholic
90192,Catholic
51495,Catholic
34344,Catholic
21793,Catholic
37218,Catholic
17932,Catholic
95026,Catholic
66800,Catholic
73693,Catholic
80429,Catholic
75149,Catholic
61659,Catholic
81420,Catholic
33740,No Religion
67709,No Religion
36552,Catholic
14301,Catholic
63138,Other Religion
51298,Catholic
74632,Protestant
16654,Catholic
54394,Catholic
84768,Catholic
29134,Catholic
24029,Other Religion
35361,Catholic
49086,Protestant
67917,Catholic
85503,Catholic
60008,Catholic
55881,Catholic
22119,Catholic
39285,Catholic
22460,Catholic
25172,Catholic
77134,Catholic
22143,Catholic
93766,Catholic
45097,Catholic
26289,Catholic
95490,Catholic
66979,Catholic
23253,Catholic
90079,Catholic
47584,Catholic
97990,No Religion
39248,Catholic
29354,Catholic
91429,Protestant
82269,Catholic
22842,Catholic
31311,Catholic
33084,Catholic
14279,Catholic
91932,Catholic
32404,Catholic
73577,Catholic
43177,Catholic
36501,Catholic
26857,Catholic
28327,Catholic
42674,Catholic
79897,Protestant
64978,Catholic
52302,Catholic
97050,Catholic
46418,Catholic
86691,Catholic
93002,Protestant
56543,Catholic
92618,Catholic
17470,Catholic
74211,Catholic
35180,Catholic
89142,No Religion
24898,Protestant
74413,Catholic
38824,Catholic
51723,Protestant
79352,Catholic
30814,Catholic
90502,Catholic
94456,Catholic
70661,Catholic
50976,Catholic
55533,Catholic
12156,Catholic
76485,Protestant
33239,No Religion
72570,Catholic
67574,Catholic
42231,Catholic
84960,Catholic
31033,Catholic
10469,Catholic
77789,Catholic
47024,No Religion
88582,Catholic
83470,Catholic
67015,Catholic
26272,Catholic
21909,Catholic
88882,Catholic
31985,Catholic
91337,Catholic
87664,Catholic
19245,Catholic
83748,Protestant
49915,Catholic
51865,No Religion
78407,Catholic
93787,No Religion
52621,Catholic
38914,Catholic
19833,Catholic
40864,Catholic
18707,Catholic
26718,Catholic
63347,Catholic
35824,Catholic
48826,Catholic
93246,Catholic
75341,Catholic
35925,No Religion
