egoid,usetobacco_8,usevape_8,usebeer_8,usewine_8,usedrugs_8,usedrugs_prescr_8,usecaffine_8
60367,Not at all,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
59592,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
22897,Not at all,1-2 times a week,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week
89652,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
50072,Not at all,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week
44927,Not at all,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week
66676,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
95930,Not at all,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
70962,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
30453,Not at all,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week
58219,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Not at all,1-2 times a week
80177,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
58682,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
79834,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Not at all,Not at all,Three times a week or more
38052,Not at all,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all
58196,Not at all,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more
48224,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
68318,Not at all,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more
62246,Not at all,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
57842,Not at all,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Three times a week or more
17522,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month
62617,Not at all,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more
48013,1-2 times a month,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more
14571,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
69057,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Three times a week or more
49125,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
83542,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
26858,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
93504,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
64232,Not at all,Less than 1-2 times a month,Three times a week or more,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Three times a week or more
37404,Not at all,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
82248,Not at all,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Not at all
70492,Less than 1-2 times a month,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,1-2 times a month,Three times a week or more
95543,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month
21380,Less than 1-2 times a month,Three times a week or more,Three times a week or more,1-2 times a week,Not at all,Not at all,Three times a week or more
25495,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all
83612,Not at all,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
99978,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
92566,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
67608,Not at all,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more
13647,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
59207,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
71089,Less than 1-2 times a month,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more
98462,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all
64302,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month
72885,Not at all,Less than 1-2 times a month,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Less than 1-2 times a month
71193,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
98117,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month
24883,Less than 1-2 times a month,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
20650,Less than 1-2 times a month,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month
66815,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
14847,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Less than 1-2 times a month
94215,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all
98700,Not at all,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
99733,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
27407,Not at all,Not at all,Three times a week or more,1-2 times a month,Not at all,Not at all,1-2 times a week
43794,Not at all,Not at all,1-2 times a week,Three times a week or more,Not at all,Not at all,Less than 1-2 times a month
73918,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all
51437,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
21932,Not at all,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Not at all
49800,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week
34062,Not at all,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
42646,Not at all,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
21971,Not at all,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
84502,Not at all,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Three times a week or more,Less than 1-2 times a month
25197,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
23270,Not at all,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
70745,Not at all,Not at all,1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all
93856,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
10237,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
97448,Not at all,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Three times a week or more
66156,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
87328,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week
57045,Not at all,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
17183,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month
22408,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
38293,Not at all,Not at all,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Not at all,1-2 times a week
33785,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
44310,Not at all,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Not at all
31294,Not at all,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Three times a week or more
63419,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
48969,Not at all,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,1-2 times a week
64296,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Three times a week or more
17569,1-2 times a month,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,1-2 times a week
77036,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
82986,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month
38610,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month
96610,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
77711,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
48676,Not at all,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
79167,Not at all,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
43710,Not at all,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month
22455,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
57443,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
96469,Not at all,Not at all,Less than 1-2 times a month,Three times a week or more,Not at all,Not at all,Three times a week or more
94579,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
29257,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
63904,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
20335,Not at all,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more
88185,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month
35344,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
31175,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
50666,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
42617,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
25548,Not at all,Not at all,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Three times a week or more
91551,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
33657,Not at all,1-2 times a month,1-2 times a week,Three times a week or more,Less than 1-2 times a month,Not at all,Three times a week or more
65656,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
36117,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
82587,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a month,Three times a week or more
26320,Not at all,Not at all,Not at all,Three times a week or more,1-2 times a month,Not at all,1-2 times a week
77532,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
92515,Not at all,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more
97844,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
81647,Not at all,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
49790,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
15181,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Not at all,Less than 1-2 times a month
78657,Not at all,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all
48154,Not at all,Not at all,Three times a week or more,1-2 times a week,Three times a week or more,Not at all,Not at all
51495,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
17932,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Not at all,1-2 times a week
80429,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
75149,Not at all,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Three times a week or more
33740,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Three times a week or more
67709,Not at all,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all
36552,Not at all,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
14301,Not at all,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
63138,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month
51298,1-2 times a month,1-2 times a week,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
74632,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
49086,Not at all,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Not at all
85503,Not at all,Not at all,1-2 times a week,Three times a week or more,Not at all,Not at all,1-2 times a week
23253,Less than 1-2 times a month,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
47584,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
91429,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
22842,Less than 1-2 times a month,1-2 times a month,1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a week
14279,Not at all,Not at all,Three times a week or more,1-2 times a week,Less than 1-2 times a month,1-2 times a month,1-2 times a week
26857,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
28327,Not at all,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
52302,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month
93002,Not at all,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
51723,Not at all,Not at all,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a month
79352,Not at all,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week
76485,Not at all,Less than 1-2 times a month,Three times a week or more,1-2 times a week,Not at all,Not at all,Three times a week or more
33239,Not at all,Less than 1-2 times a month,Three times a week or more,1-2 times a week,Three times a week or more,Not at all,Less than 1-2 times a month
67574,1-2 times a week,1-2 times a week,Three times a week or more,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Three times a week or more
88882,Not at all,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a week
49915,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month
93787,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
63347,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Three times a week or more
35824,Less than 1-2 times a month,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,1-2 times a week
