egoid,gender_1,momdec_1,momusa_1,daddec_1,dadusa_1,parentstatus_1,dadage_1,momage_1,numsib_1,birthorder_1,parentincome_1,parenteduc_1,momrace_1,dadrace_1,momrelig_1,dadrelig_1,yourelig_1
77941,Male,0.0,1.0,0.0,1.0,Living together,62.0,60.0,3.0,fourth born,"less than $25,000",1 parent no college,Asian-American,Asian-American,Catholic,Catholic,Catholic
44873,Male,0.0,0.0,0.0,0.0,Divorced or living apart,59.0,49.0,6.0,third born,"$50,000 - $74,999",1 parent no college,White,White,Catholic,Protestant,Catholic
36540,Male,0.0,1.0,0.0,1.0,Divorced or living apart,45.0,41.0,3.0,second born,"$100,000 - $149,999",both parent college,Latino,Latino,Catholic,Catholic,Catholic
14527,Male,0.0,0.0,0.0,1.0,Living together,48.0,60.0,1.0,first born,"$250,000 or more",both parent college,White,White,Catholic,No Religion,Catholic
83005,Female,0.0,0.0,0.0,0.0,Living together,52.0,51.0,1.0,second born,"$250,000 or more",both parent college,White,White,Other Religion,Other Religion,No Religion
31439,Female,0.0,0.0,0.0,0.0,Living together,53.0,49.0,1.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Other Religion,Catholic
21899,Male,0.0,0.0,0.0,0.0,Divorced or living apart,59.0,52.0,3.0,third born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
29232,Female,0.0,0.0,0.0,0.0,Divorced or living apart,60.0,59.0,3.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
32249,Female,0.0,0.0,0.0,0.0,Living together,58.0,50.0,2.0,second born,"$200,000 - $249,999",both parent college,White,White,Protestant,Protestant,Protestant
45375,Male,0.0,1.0,0.0,0.0,Divorced or living apart,54.0,39.0,2.0,third born,"$50,000 - $74,999",1 parent no college,multiracial,Black,No Religion,Catholic,No Religion
25536,Female,0.0,0.0,0.0,0.0,Divorced or living apart,66.0,51.0,1.0,second born,"$250,000 or more",1 parent no college,White,Latino,Catholic,Catholic,Catholic
32037,Female,0.0,0.0,0.0,0.0,Living together,51.0,45.0,1.0,second born,"$100,000 - $149,999",1 parent no college,White,White,Catholic,Catholic,Catholic
90476,Male,0.0,0.0,0.0,1.0,Living together,54.0,55.0,1.0,second born,"$150,000 - $199,999",both parent college,White,Asian-American,Catholic,Other Religion,Catholic
46558,Male,0.0,1.0,0.0,1.0,Living together,44.0,44.0,4.0,fourth born,"$25,000 - $49,999",1 parent no college,Latino,Latino,Catholic,Catholic,No Religion
24016,Female,0.0,0.0,0.0,0.0,Living together,47.0,47.0,2.0,first born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
52277,Female,0.0,0.0,0.0,0.0,Living together,53.0,50.0,3.0,third born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
93699,Female,0.0,1.0,0.0,1.0,Living together,52.0,52.0,1.0,first born,"$250,000 or more",1 parent no college,Asian-American,Asian-American,No Religion,No Religion,No Religion
36875,Female,0.0,0.0,0.0,0.0,Living together,51.0,49.0,4.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
84011,Female,0.0,0.0,0.0,0.0,Living together,59.0,54.0,1.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
90646,Female,0.0,0.0,0.0,0.0,Living together,52.0,54.0,1.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
88008,Male,0.0,1.0,0.0,1.0,Living together,61.0,57.0,2.0,third born,"$25,000 - $49,999",1 parent no college,White,White,Catholic,Catholic,Catholic
88967,Male,0.0,0.0,0.0,1.0,Living together,68.0,55.0,1.0,second born,"$250,000 or more",both parent college,White,Asian-American,Catholic,Other Religion,Catholic
46701,Male,0.0,1.0,0.0,1.0,Living together,52.0,48.0,1.0,second born,"$250,000 or more",both parent college,Asian-American,Asian-American,Other Religion,Other Religion,Other Religion
83566,Female,0.0,0.0,0.0,0.0,Divorced or living apart,49.0,50.0,2.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
21090,Female,0.0,0.0,0.0,0.0,Living together,49.0,49.0,2.0,first born,"$200,000 - $249,999",both parent college,White,multiracial,Catholic,Protestant,Catholic
69419,Female,0.0,1.0,0.0,1.0,Living together,42.0,43.0,1.0,first born,"$50,000 - $74,999",Both no college,Latino,Latino,Catholic,Catholic,Catholic
87032,Female,0.0,0.0,0.0,0.0,Divorced or living apart,41.0,37.0,4.0,second born,"$50,000 - $74,999",1 parent no college,Black,Black,Other Religion,Protestant,Other Religion
94641,Male,0.0,0.0,0.0,1.0,Living together,53.0,49.0,5.0,third born,"$150,000 - $199,999",both parent college,White,Asian-American,Catholic,No Religion,Catholic
82728,Female,0.0,1.0,0.0,1.0,Living together,50.0,49.0,4.0,second born,"$100,000 - $149,999",both parent college,White,White,Other Religion,Other Religion,Other Religion
45076,Female,0.0,1.0,0.0,0.0,Living together,48.0,48.0,1.0,first born,"$250,000 or more",both parent college,Asian-American,White,No Religion,Catholic,Catholic
58437,Male,0.0,1.0,0.0,1.0,Living together,49.0,47.0,1.0,second born,"$100,000 - $149,999",both parent college,Asian-American,Asian-American,Catholic,Catholic,Catholic
94862,Male,0.0,0.0,0.0,0.0,Living together,56.0,55.0,2.0,third born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,Catholic
14606,Male,0.0,0.0,0.0,0.0,Living together,51.0,56.0,1.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
64075,Male,0.0,1.0,0.0,1.0,Divorced or living apart,43.0,46.0,0.0,only child,"less than $25,000",Both no college,Latino,Latino,Catholic,Catholic,Catholic
39787,Female,0.0,0.0,0.0,0.0,Living together,51.0,51.0,1.0,second born,"$100,000 - $149,999",both parent college,White,White,Other Religion,Catholic,No Religion
82376,Male,0.0,0.0,0.0,0.0,Living together,53.0,52.0,1.0,second born,"$100,000 - $149,999",1 parent no college,White,White,Catholic,Protestant,Catholic
44872,Female,0.0,0.0,0.0,0.0,Divorced or living apart,50.0,50.0,4.0,second born,"$200,000 - $249,999",both parent college,White,White,No Religion,Protestant,Protestant
87783,Female,0.0,0.0,0.0,0.0,Living together,49.0,49.0,2.0,first born,"less than $25,000",both parent college,White,White,Catholic,Catholic,Catholic
22199,Male,0.0,0.0,0.0,0.0,Divorced or living apart,47.0,47.0,5.0,first born,"$200,000 - $249,999",both parent college,White,White,Protestant,Protestant,Protestant
47498,Female,0.0,0.0,0.0,0.0,Divorced or living apart,59.0,49.0,1.0,first born,"$150,000 - $199,999",both parent college,Black,White,Catholic,Catholic,Catholic
57325,Female,0.0,1.0,0.0,1.0,Living together,60.0,47.0,0.0,only child,"$150,000 - $199,999",1 parent no college,Latino,Latino,Catholic,Catholic,Catholic
53776,Male,0.0,0.0,0.0,0.0,Living together,53.0,52.0,1.0,second born,"$200,000 - $249,999",both parent college,White,White,Protestant,Protestant,Protestant
58633,Female,0.0,0.0,0.0,0.0,Divorced or living apart,53.0,53.0,2.0,third born,"$25,000 - $49,999",1 parent no college,Black,Black,Catholic,Other Religion,Catholic
27306,Female,0.0,0.0,0.0,0.0,Living together,50.0,50.0,2.0,third born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
80607,Male,1.0,0.0,1.0,0.0,Living together,50.0,49.0,1.0,second born,"$250,000 or more",1 parent no college,White,Latino,Catholic,Catholic,Catholic
73143,Male,0.0,1.0,0.0,0.0,Living together,58.0,54.0,2.0,first born,"$150,000 - $199,999",both parent college,multiracial,White,Catholic,Catholic,Catholic
35797,Female,0.0,0.0,0.0,1.0,Divorced or living apart,58.0,55.0,2.0,second born,"$250,000 or more",both parent college,White,White,Protestant,Protestant,Protestant
46365,Male,0.0,1.0,0.0,1.0,Living together,57.0,54.0,4.0,fourth born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
30596,Male,0.0,1.0,0.0,1.0,Living together,60.0,50.0,2.0,second born,"less than $25,000",both parent college,Asian-American,Asian-American,Catholic,Catholic,Catholic
31045,Male,0.0,0.0,0.0,0.0,Living together,50.0,50.0,2.0,third born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,No Religion
74492,Female,0.0,0.0,0.0,0.0,Living together,56.0,56.0,1.0,second born,"$200,000 - $249,999",both parent college,White,White,Catholic,Catholic,Catholic
76791,Female,0.0,0.0,0.0,0.0,Living together,50.0,48.0,2.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
21348,Female,0.0,1.0,0.0,1.0,Living together,58.0,57.0,0.0,only child,"$100,000 - $149,999",both parent college,Other,Other,Catholic,Catholic,Catholic
23287,Male,0.0,0.0,0.0,0.0,Living together,50.0,49.0,2.0,third born,"$250,000 or more",1 parent no college,White,White,Catholic,Catholic,Catholic
14763,Female,0.0,0.0,0.0,0.0,Living together,56.0,51.0,1.0,first born,"$150,000 - $199,999",both parent college,White,White,Catholic,Other Religion,No Religion
22066,Male,0.0,0.0,0.0,0.0,Living together,58.0,58.0,4.0,fourth born,"$200,000 - $249,999",both parent college,White,White,Catholic,Catholic,Catholic
64058,Female,0.0,0.0,0.0,1.0,Living together,51.0,53.0,2.0,second born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,No Religion
28247,Female,0.0,1.0,0.0,1.0,Living together,56.0,51.0,2.0,second born,"$100,000 - $149,999",1 parent no college,Asian-American,Asian-American,Other Religion,Other Religion,Other Religion
72873,Male,0.0,0.0,0.0,0.0,Living together,53.0,43.0,1.0,first born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
67544,Female,0.0,0.0,0.0,0.0,Living together,61.0,56.0,1.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
76810,Female,0.0,1.0,0.0,1.0,Divorced or living apart,52.0,48.0,1.0,second born,"less than $25,000",both parent college,Asian-American,Asian-American,Catholic,No Religion,Catholic
51760,Male,0.0,0.0,0.0,0.0,Living together,57.0,55.0,2.0,first born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,Catholic
72806,Female,0.0,0.0,0.0,0.0,Divorced or living apart,56.0,55.0,0.0,only child,"$250,000 or more",both parent college,White,White,No Religion,No Religion,No Religion
98766,Male,0.0,0.0,0.0,0.0,Living together,54.0,53.0,2.0,first born,"$250,000 or more",both parent college,White,White,Protestant,Protestant,Protestant
60997,Male,0.0,0.0,0.0,0.0,Divorced or living apart,55.0,53.0,4.0,second born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,No Religion
36038,Male,0.0,0.0,0.0,0.0,Living together,45.0,49.0,3.0,first born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
39146,Female,0.0,0.0,0.0,0.0,Living together,73.0,52.0,3.0,first born,"$250,000 or more",1 parent no college,White,White,Catholic,Catholic,Catholic
60963,Male,0.0,0.0,0.0,0.0,Living together,51.0,49.0,1.0,second born,"$150,000 - $199,999",both parent college,White,multiracial,Protestant,Protestant,No Religion
67918,Male,0.0,0.0,0.0,0.0,Living together,47.0,47.0,2.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
34467,Female,0.0,0.0,0.0,0.0,Living together,50.0,50.0,2.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
42132,Male,0.0,0.0,1.0,0.0,Living together,50.0,54.0,3.0,third born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
41268,Female,0.0,0.0,0.0,0.0,Living together,51.0,51.0,3.0,second born,"$100,000 - $149,999",both parent college,multiracial,White,Catholic,Catholic,Catholic
90692,Female,0.0,0.0,0.0,0.0,Living together,57.0,55.0,2.0,third born,"$50,000 - $74,999",1 parent no college,White,White,Catholic,Protestant,Protestant
32668,Male,0.0,0.0,0.0,1.0,Living together,51.0,49.0,1.0,first born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,Catholic
24079,Male,0.0,1.0,0.0,1.0,Living together,56.0,53.0,0.0,only child,"$250,000 or more",both parent college,Asian-American,Asian-American,No Religion,No Religion,No Religion
59673,Female,0.0,0.0,0.0,0.0,Living together,53.0,56.0,1.0,second born,"$200,000 - $249,999",both parent college,White,White,Catholic,Catholic,Catholic
74899,Male,0.0,0.0,0.0,0.0,Living together,53.0,53.0,1.0,second born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,Catholic
48891,Male,0.0,0.0,0.0,0.0,Living together,52.0,49.0,0.0,only child,"$250,000 or more",both parent college,White,White,Protestant,Protestant,Protestant
81807,Male,0.0,0.0,0.0,0.0,Divorced or living apart,54.0,53.0,3.0,fourth born,"$200,000 - $249,999",both parent college,White,White,Catholic,Catholic,Catholic
77187,Female,0.0,0.0,0.0,0.0,Divorced or living apart,40.0,39.0,2.0,first born,"less than $25,000",1 parent no college,Black,Black,Protestant,Protestant,Protestant
91176,Male,0.0,0.0,0.0,0.0,Living together,50.0,49.0,1.0,first born,"$50,000 - $74,999",both parent college,White,White,Catholic,Catholic,Catholic
22292,Male,0.0,0.0,0.0,0.0,Living together,57.0,54.0,1.0,second born,"$200,000 - $249,999",both parent college,White,White,Catholic,Catholic,Catholic
35011,Female,0.0,0.0,0.0,0.0,Divorced or living apart,52.0,49.0,1.0,first born,"$100,000 - $149,999",both parent college,Black,Black,Other Religion,Other Religion,Other Religion
76785,Female,0.0,0.0,0.0,0.0,Living together,52.0,53.0,2.0,second born,"$100,000 - $149,999",both parent college,White,White,Other Religion,Other Religion,Other Religion
60903,Female,0.0,0.0,0.0,0.0,Divorced or living apart,61.0,49.0,0.0,only child,"$25,000 - $49,999",both parent college,White,White,Catholic,No Religion,Catholic
10115,Male,0.0,0.0,0.0,0.0,Divorced or living apart,53.0,50.0,1.0,second born,"$100,000 - $149,999",1 parent no college,Black,Black,Other Religion,Other Religion,Other Religion
35416,Male,0.0,0.0,0.0,0.0,Living together,44.0,43.0,6.0,first born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
89710,Female,0.0,0.0,0.0,0.0,Divorced or living apart,49.0,49.0,3.0,second born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,Catholic
97596,Female,0.0,1.0,0.0,1.0,Living together,57.0,45.0,2.0,third born,"$200,000 - $249,999",1 parent no college,multiracial,multiracial,Catholic,Catholic,Catholic
39129,Female,0.0,1.0,0.0,1.0,Living together,57.0,49.0,4.0,third born,"$250,000 or more",both parent college,Black,Black,Catholic,Catholic,Catholic
57359,Female,0.0,0.0,0.0,0.0,Living together,51.0,50.0,2.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Other Religion,Catholic
17308,Female,0.0,0.0,0.0,0.0,Living together,52.0,51.0,2.0,third born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
51851,Male,0.0,1.0,0.0,1.0,Living together,50.0,46.0,1.0,first born,"$100,000 - $149,999",both parent college,White,White,Catholic,No Religion,Catholic
35855,Male,0.0,0.0,0.0,0.0,Living together,56.0,50.0,2.0,first born,"$250,000 or more",1 parent no college,White,White,Catholic,Catholic,Catholic
67334,Female,0.0,1.0,0.0,1.0,Living together,51.0,45.0,1.0,first born,"$75,000 - $99,999",both parent college,Latino,Latino,Catholic,Catholic,Catholic
60230,Male,0.0,0.0,0.0,0.0,Living together,36.0,37.0,2.0,first born,"$100,000 - $149,999",both parent college,White,White,No Religion,No Religion,No Religion
77838,Female,0.0,1.0,0.0,1.0,Living together,50.0,46.0,2.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
37371,Female,0.0,0.0,0.0,0.0,Living together,61.0,51.0,1.0,second born,"$50,000 - $74,999",Both no college,Latino,multiracial,Catholic,Other Religion,Catholic
57292,Female,0.0,0.0,0.0,0.0,Living together,51.0,51.0,3.0,fourth born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
66406,Male,0.0,0.0,0.0,0.0,Living together,56.0,54.0,6.0,fiifth born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,Catholic
90447,Male,0.0,0.0,0.0,0.0,Living together,41.0,42.0,2.0,first born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
56798,Male,0.0,0.0,0.0,0.0,Living together,51.0,49.0,1.0,second born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,Catholic
28827,Female,0.0,1.0,0.0,1.0,Living together,48.0,49.0,0.0,only child,"$50,000 - $74,999",both parent college,Latino,Latino,Catholic,Catholic,Catholic
23115,Male,0.0,0.0,1.0,0.0,Living together,50.0,47.0,5.0,fourth born,"$250,000 or more",both parent college,White,White,No Religion,Catholic,Catholic
77872,Male,0.0,0.0,0.0,0.0,Living together,48.0,48.0,2.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
43114,Female,0.0,0.0,0.0,0.0,Living together,54.0,48.0,2.0,second born,"$75,000 - $99,999",both parent college,White,White,Catholic,Catholic,Catholic
72348,Female,0.0,0.0,0.0,0.0,Living together,52.0,54.0,2.0,first born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
15707,Female,0.0,0.0,0.0,1.0,Living together,49.0,50.0,2.0,second born,"$100,000 - $149,999",both parent college,White,Black,Catholic,Protestant,Catholic
45776,Male,0.0,0.0,0.0,0.0,Living together,45.0,45.0,1.0,second born,"$200,000 - $249,999",1 parent no college,Black,White,Catholic,Catholic,No Religion
63122,Male,0.0,0.0,0.0,0.0,Living together,53.0,49.0,2.0,first born,"$150,000 - $199,999",both parent college,White,White,Catholic,Protestant,Catholic
27169,Male,0.0,0.0,0.0,0.0,Living together,55.0,54.0,1.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
89607,Male,0.0,0.0,0.0,0.0,Divorced or living apart,51.0,51.0,4.0,first born,"$50,000 - $74,999",both parent college,White,White,Protestant,No Religion,Protestant
59900,Female,0.0,0.0,0.0,0.0,Living together,63.0,49.0,3.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
28254,Female,0.0,0.0,0.0,0.0,Living together,53.0,49.0,1.0,first born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,Catholic
56480,Male,0.0,0.0,0.0,0.0,Living together,51.0,51.0,3.0,second born,"$200,000 - $249,999",both parent college,White,White,Catholic,Catholic,Catholic
11128,Male,0.0,0.0,0.0,0.0,Living together,45.0,42.0,1.0,first born,"$200,000 - $249,999",1 parent no college,White,White,Catholic,Catholic,Catholic
47886,Female,0.0,0.0,0.0,0.0,Living together,54.0,57.0,4.0,fiifth born,"less than $25,000",1 parent no college,White,White,Catholic,Catholic,No Religion
28820,Male,0.0,1.0,0.0,0.0,Living together,51.0,59.0,1.0,second born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
35347,Female,0.0,1.0,0.0,1.0,Living together,56.0,53.0,1.0,second born,"$100,000 - $149,999",both parent college,Asian-American,Asian-American,Catholic,Catholic,Catholic
45641,Male,0.0,0.0,0.0,0.0,Living together,49.0,49.0,6.0,fourth born,"$75,000 - $99,999",both parent college,Latino,Latino,Catholic,Catholic,Catholic
25369,Male,0.0,0.0,0.0,0.0,Living together,49.0,48.0,2.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,No Religion
64572,Male,0.0,0.0,0.0,0.0,Living together,49.0,49.0,5.0,second born,"$50,000 - $74,999",both parent college,White,White,Catholic,Catholic,Catholic
31538,Female,0.0,0.0,0.0,0.0,Living together,49.0,48.0,3.0,third born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
73452,Male,0.0,1.0,0.0,1.0,Living together,55.0,47.0,2.0,second born,"$75,000 - $99,999",both parent college,Asian-American,Asian-American,Catholic,Catholic,Catholic
51475,Female,0.0,0.0,0.0,0.0,Living together,51.0,49.0,2.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
28312,Male,0.0,0.0,0.0,0.0,Living together,47.0,48.0,1.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
13486,Male,0.0,0.0,0.0,0.0,Living together,49.0,50.0,2.0,second born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
56805,Male,0.0,0.0,0.0,0.0,Living together,57.0,55.0,3.0,third born,"$100,000 - $149,999",1 parent no college,White,White,Catholic,Catholic,Catholic
57697,Female,0.0,0.0,0.0,0.0,Living together,48.0,46.0,2.0,first born,"$250,000 or more",both parent college,White,White,Catholic,No Religion,Catholic
54837,Male,0.0,0.0,0.0,0.0,Living together,70.0,56.0,1.0,second born,"$200,000 - $249,999",both parent college,White,White,Catholic,Protestant,Protestant
29718,Female,0.0,0.0,0.0,0.0,Divorced or living apart,50.0,45.0,1.0,first born,"$200,000 - $249,999",both parent college,White,White,Catholic,Catholic,Catholic
26800,Male,0.0,0.0,0.0,0.0,Living together,46.0,45.0,2.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Protestant,Catholic
60493,Male,0.0,0.0,0.0,0.0,Divorced or living apart,45.0,45.0,2.0,first born,"$150,000 - $199,999",1 parent no college,White,White,Catholic,No Religion,Catholic
52051,Female,0.0,1.0,0.0,1.0,Living together,48.0,51.0,1.0,second born,"$250,000 or more",1 parent no college,White,White,Catholic,Catholic,Catholic
30972,Male,0.0,0.0,0.0,0.0,Living together,50.0,47.0,3.0,second born,"$50,000 - $74,999",Both no college,White,White,Catholic,Catholic,No Religion
47142,Female,0.0,1.0,0.0,1.0,Living together,50.0,43.0,1.0,second born,"$150,000 - $199,999",both parent college,Latino,Latino,Catholic,Catholic,Catholic
69217,Male,0.0,0.0,0.0,0.0,Living together,50.0,49.0,3.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
69009,Female,0.0,0.0,0.0,0.0,Living together,46.0,45.0,2.0,first born,"$75,000 - $99,999",both parent college,White,White,Catholic,Catholic,Catholic
84390,Female,0.0,0.0,0.0,1.0,Divorced or living apart,50.0,43.0,1.0,first born,"less than $25,000",both parent college,White,Latino,Protestant,Catholic,Protestant
74845,Male,0.0,0.0,0.0,0.0,Living together,58.0,54.0,4.0,third born,"$100,000 - $149,999",both parent college,Latino,Latino,Catholic,Catholic,Catholic
90905,Male,0.0,1.0,0.0,0.0,Living together,56.0,51.0,2.0,second born,"$250,000 or more",both parent college,Asian-American,White,Catholic,Catholic,Catholic
39659,Female,0.0,1.0,0.0,1.0,Living together,47.0,44.0,2.0,first born,"$75,000 - $99,999",both parent college,multiracial,Latino,Catholic,Catholic,Catholic
62072,Male,0.0,0.0,0.0,0.0,Living together,51.0,53.0,5.0,fourth born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
60396,Male,0.0,0.0,0.0,0.0,Living together,50.0,49.0,3.0,third born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
61084,Female,0.0,0.0,0.0,0.0,Living together,41.0,41.0,4.0,first born,"$150,000 - $199,999",1 parent no college,Black,Black,Catholic,Catholic,Catholic
92412,Male,0.0,0.0,0.0,0.0,Living together,51.0,51.0,2.0,first born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
92038,Male,0.0,0.0,0.0,0.0,Living together,54.0,53.0,5.0,fiifth born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,Catholic
33388,Male,0.0,0.0,0.0,1.0,Divorced or living apart,48.0,45.0,2.0,first born,"$50,000 - $74,999",both parent college,Latino,Latino,Catholic,Catholic,Catholic
31717,Male,0.0,0.0,0.0,0.0,Divorced or living apart,58.0,57.0,3.0,fourth born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
18324,Female,0.0,0.0,0.0,0.0,Living together,54.0,50.0,1.0,first born,"$150,000 - $199,999",both parent college,Other,White,Catholic,Catholic,Catholic
86440,Male,0.0,0.0,0.0,0.0,Living together,48.0,50.0,3.0,first born,"$250,000 or more",both parent college,multiracial,White,Protestant,Catholic,Catholic
95585,Male,0.0,1.0,0.0,1.0,Living together,49.0,52.0,3.0,second born,"$50,000 - $74,999",both parent college,Asian-American,Asian-American,Catholic,Protestant,No Religion
29792,Male,0.0,1.0,0.0,1.0,Living together,47.0,47.0,4.0,third born,"$250,000 or more",both parent college,White,White,Catholic,Catholic,Catholic
14737,Male,0.0,1.0,0.0,1.0,Living together,51.0,49.0,1.0,second born,"$25,000 - $49,999",both parent college,Asian-American,Asian-American,Catholic,Catholic,Catholic
28223,Male,0.0,1.0,0.0,1.0,Living together,51.0,47.0,1.0,second born,"$150,000 - $199,999",both parent college,Asian-American,Asian-American,Protestant,Protestant,Protestant
85708,Male,0.0,0.0,0.0,0.0,Living together,49.0,49.0,2.0,second born,"$100,000 - $149,999",both parent college,White,White,Catholic,No Religion,Catholic
55452,Female,0.0,1.0,0.0,1.0,Divorced or living apart,47.0,47.0,1.0,first born,"$100,000 - $149,999",both parent college,White,White,Protestant,Other Religion,Protestant
20179,Female,0.0,0.0,0.0,0.0,Divorced or living apart,58.0,46.0,2.0,third born,"$200,000 - $249,999",both parent college,White,White,Protestant,Catholic,Catholic
78339,Female,0.0,1.0,0.0,1.0,Living together,56.0,55.0,1.0,first born,"$250,000 or more",both parent college,Asian-American,Asian-American,Catholic,Other Religion,Catholic
23696,Male,0.0,0.0,0.0,0.0,Divorced or living apart,54.0,48.0,4.0,first born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
