egoid,hs_1,hssex_1,hsgrade_1,apexams_1,degreeintent_1,hrswork_1,ndfirst_1,majorevent_1,hsclubrc_1
35797,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,yes,1
46365,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",5-10,Yes,no,1
30596,Private independent college-prep school,A mixture of boys and girls,A-,Not offered at my high school,Ph.D or Ed.D.,None,Yes,no,1
31045,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,yes,1
74492,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
76791,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
21348,Public magnet school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
23287,Public school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",0-4,Yes,no,0
14763,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
22066,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
64058,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,No,no,1
28247,Public school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
72873,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,Yes,no,1
67544,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
76810,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,5-10,Yes,yes,1
51760,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
72806,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
98766,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",11-15,No,no,1
60997,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
36038,Private independent college-prep school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,yes,1
39146,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
60963,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",11-15,Yes,no,0
67918,Public school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,no,1
34467,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,No,no,1
42132,Private religious/parochial school,A mixture of boys and girls,A-,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,0
41268,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
90692,Public school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
32668,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
24079,Public school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",None,No,yes,1
59673,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
74899,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,5-10,No,yes,1
48891,Private independent college-prep school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
81807,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,Yes,no,1
77187,Public charter school,A mixture of boys and girls,B+,3-4,Ph.D or Ed.D.,None,Yes,yes,1
91176,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,Yes,no,1
22292,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
35011,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,J.D. (Law),None,No,yes,1
76785,Public school,A mixture of boys and girls,A or A+,5 or more,J.D. (Law),0-4,No,no,1
60903,Public school,A mixture of boys and girls,A or A+,3-4,"Bachelor's degree (B.A., B.S., etc.)",None,No,no,1
10115,Private independent college-prep school,Same sex- male,B+,0,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
35416,Private religious/parochial school,Same sex- male,A or A+,5 or more,Ph.D or Ed.D.,None,Yes,no,1
89710,Public magnet school,A mixture of boys and girls,A or A+,5 or more,J.D. (Law),5-10,No,yes,1
97596,Private religious/parochial school,Same sex- female,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,Yes,yes,1
39129,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
57359,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
17308,Private religious/parochial school,Same sex- female,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",0-4,Yes,no,1
51851,Private independent college-prep school,A mixture of boys and girls,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
35855,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,yes,1
67334,Private religious/parochial school,Same sex- female,A-,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
60230,Public magnet school,A mixture of boys and girls,A or A+,1-2,Ph.D or Ed.D.,0-4,No,no,0
77838,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",0-4,Yes,no,1
37371,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
57292,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,J.D. (Law),11-15,Yes,yes,1
66406,Public school,A mixture of boys and girls,A or A+,1-2,Ph.D or Ed.D.,5-10,Yes,yes,1
90447,Private religious/parochial school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
56798,Public school,A mixture of boys and girls,A-,5 or more,Ph.D or Ed.D.,0-4,Yes,no,1
28827,Public magnet school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
23115,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,no,1
77872,Public school,A mixture of boys and girls,A or A+,5 or more,J.D. (Law),None,No,yes,1
43114,Private independent college-prep school,Same sex- female,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",11-15,Yes,no,1
72348,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",21 or more,Yes,no,1
15707,Public school,A mixture of boys and girls,B+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
45776,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",21 or more,No,no,1
63122,Public school,A mixture of boys and girls,A or A+,0,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
27169,Private independent college-prep school,Same sex- male,A or A+,5 or more,J.D. (Law),None,Yes,no,1
89607,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",16-20,Yes,no,1
59900,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",5-10,Yes,yes,1
28254,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
56480,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,yes,1
11128,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,Yes,no,1
47886,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
28820,Public school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
35347,Public school,A mixture of boys and girls,A or A+,5 or more,J.D. (Law),None,No,yes,1
45641,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",0-4,Yes,no,1
25369,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
64572,Private religious/parochial school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,Yes,no,1
31538,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,0-4,Yes,no,1
73452,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
51475,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
28312,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,J.D. (Law),None,Yes,no,1
13486,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
56805,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
57697,Private religious/parochial school,Same sex- female,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
54837,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,yes,1
29718,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
26800,Private religious/parochial school,Same sex- male,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
60493,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
52051,Private independent college-prep school,A mixture of boys and girls,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,yes,1
30972,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,0
47142,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,0-4,Yes,no,1
69217,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
69009,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
84390,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,No,yes,1
74845,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
90905,Public magnet school,A mixture of boys and girls,A-,5 or more,Ph.D or Ed.D.,None,Yes,yes,1
39659,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,J.D. (Law),None,Yes,yes,1
62072,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
60396,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,J.D. (Law),0-4,Yes,yes,1
61084,Public school,A mixture of boys and girls,A or A+,3-4,"Bachelor's degree (B.A., B.S., etc.)",11-15,Yes,no,1
92412,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,Yes,no,1
92038,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
33388,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,yes,1
31717,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,5-10,No,no,1
18324,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
86440,Public school,A mixture of boys and girls,A or A+,3-4,J.D. (Law),None,Yes,no,1
95585,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,No,no,1
29792,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,Ph.D or Ed.D.,5-10,Yes,yes,1
14737,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
28223,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
85708,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,Yes,no,1
55452,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",11-15,No,no,1
20179,Public magnet school,A mixture of boys and girls,A-,Not offered at my high school,Ph.D or Ed.D.,16-20,No,yes,1
78339,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
23696,Public school,A mixture of boys and girls,A or A+,1-2,Ph.D or Ed.D.,5-10,No,yes,1
28653,Private independent college-prep school,A mixture of boys and girls,A-,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,yes,1
84715,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,Yes,no,0
95559,Public school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",None,No,no,1
30152,Public school,A mixture of boys and girls,A-,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
68764,Public school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",21 or more,No,no,1
60367,Public school,A mixture of boys and girls,B+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,0
36939,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
59592,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,5-10,Yes,yes,1
22897,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
89652,Private religious/parochial school,Same sex- female,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",5-10,Yes,no,1
28724,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,Ph.D or Ed.D.,0-4,No,no,1
92895,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,0
69831,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,Yes,no,1
59178,Public school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
50072,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
44927,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,0-4,No,no,1
71894,Public school,A mixture of boys and girls,A-,5 or more,Ph.D or Ed.D.,None,No,no,1
76790,Private religious/parochial school,Same sex- female,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
78428,Private religious/parochial school,Same sex- female,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
66676,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
95930,Public school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
70962,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
12738,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",11-15,Yes,no,1
29647,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
27111,Public school,A mixture of boys and girls,A or A+,3-4,"M.D., D.O., D.D.S., or D.V.M.",None,No,no,1
30453,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,yes,1
58219,Private independent college-prep school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
28377,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
80177,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,yes,1
18677,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
66047,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,0-4,Yes,no,1
58682,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
81199,Private independent college-prep school,Same sex- female,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
85679,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
79834,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",0-4,Yes,no,1
93471,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
19538,Private religious/parochial school,Same sex- female,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,No,no,1
14595,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
38052,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
33133,Private religious/parochial school,Same sex- female,A or A+,5 or more,Ph.D or Ed.D.,None,Yes,no,1
40021,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
27141,Private religious/parochial school,Same sex- female,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,yes,1
93858,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,yes,1
47810,Public school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",11-15,Yes,yes,1
58196,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
42773,Public school,A mixture of boys and girls,A-,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,0
72152,Private religious/parochial school,A mixture of boys and girls,A or A+,1-2,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,no,1
76663,Private independent college-prep school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
48224,Private independent college-prep school,A mixture of boys and girls,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
30137,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,0
