egoid,SelfEsteem_1_1,SelfEsteem_2_1,SelfEsteem_3_1,SelfEsteem_4_1,SelfEsteem_5_1,SelfEsteem_6_1,SelfEsteem_7_1,SelfEsteem_8_1,SelfEsteem_9_1,SelfEsteem_10_1,SelfEsteem_1,Trust_1_1,Trust_2_1,Trust_3_1,Trust_4_1,Trust_5_1,Trust_6_1,Trust_1,SelfReg_Exercise_1_1,SelfReg_Exercise_2_1,SelfReg_Exercise_3_1,SelfReg_Exercise_4_1,SelfReg_Exercise_5_1,SelfReg_Exercise_6_1,SelfReg_Exercise_7_1,SelfReg_Exercise_8_1,SelfReg_Exercise_9_1,SelfReg_Exercise_10_1,SelfReg_Exercise_11_1,SelfReg_Exercise_12_1,SelfReg_Exercise_13_1,SelfReg_Exercise_14_1,SelfReg_Exercise_15_1,SelfReg_Exercise_16_1,SRQE_Ext_1,SRQE_Introj_1,SRQE_Ident_1,SRQE_Intrin_1,SRQE_RAI_1,lonely_1_1,lonely_2_1,lonely_3_1,lonely_4_1,lonely_5_1,lonely_6_1,lonely_7_1,lonely_8_1,lonely_9_1,lonely_10_1,lonely_11_1,lonely_12_1,lonely_13_1,lonely_14_1,lonely_15_1,selsa_rom_1,selsa_fam_1,selsa_soc_1,SelfEff_exercise_1_1,SelfEff_exercise_2_1,SelfEff_exercise_3_1,SelfEff_exercise_4_1,SelfEff_exercise_5_1,SelfEff_exercise_6_1,SelfEff_exercise_7_1,SelfEff_exercise_8_1,SelfEff_exercise_9_1,SelfEff_exercise_10_1,SelfEff_exercise_11_1,SelfEff_exercise_12_1,SelfEff_exercise_13_1,SelfEff_exercise_14_1,SelfEff_exercise_15_1,SelfEff_exercise_16_1,SelfEff_exercise_17_1,SelfEff_exercise_18_1,SelfEff_exercise_scale_1,SelfEff_diet_1_1,SelfEff_diet_2_1,SelfEff_diet_3_1,SelfEff_diet_4_1,SelfEff_diet_5_1,SelfEff_diet_6_1,SelfEff_diet_7_1,SelfEff_diet_8_1,SelfEff_diet_9_1,SelfEff_diet_10_1,SelfEff_diet_11_1,SelfEff_diet_12_1,SelfEff_diet_13_1,SelfEff_diet_14_1,SelfEff_diet_15_1,SelfEff_diet_16_1,SelfEff_diet_17_1,SelfEff_diet_18_1,SelfEff_diet_19_1,SelfEff_diet_20_1,SelfEff_diet_21_1,SelfEff_diet_22_1,SelfEff_diet_23_1,SelfEff_diet_24_1,SelfEff_diet_25_1,SelfEff_diet_26_1,SelfEff_diet_27_1,SelfEff_diet_28_1,SelfEff_diet_29_1,SelfEff_diet_scale_1,SelfReg_1_1,SelfReg_3_1,SelfReg_4_1,SelfReg_5_1,SelfReg_6_1,SelfReg_7_1,SelfReg_8_1,SelfReg_9_1,SelfReg_10_1,SelfReg_11_1,SelfReg_12_1,SelfReg_13_1,selfreg_scale_1
45963,Disagree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,29.0,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,2.3333333,Very true,Not at all true,Somewhat true,Somewhat true,Somewhat true,Not at all true,Not at all true,Somewhat true,Very true,Somewhat true,Not at all true,Very true,Very true,Not at all true,Somewhat true,Very true,1.0,4.75,6.25,4.0,7.5,Somewhat Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,-1.1820763,2.5519235,-0.98673356,20.0,11.0,100.0,100.0,100.0,26.0,82.0,100.0,3.0,48.0,0.0,58.0,26.0,77.0,60.0,11.0,21.0,87.0,51.666668,48.0,7.0,4.0,11.0,34.0,100.0,51.0,18.0,7.0,48.0,19.0,2.0,76.0,0.0,46.0,21.0,80.0,3.0,61.0,18.0,1.0,0.0,0.0,31.0,100.0,13.0,2.0,100.0,97.0,34.413792,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Strongly Agree,Agree,Disagree,Neutral,3.25
22138,Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,42.0,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,3.6666667,5,2,5,3,5,2,Not at all true,6,Very true,6,Not at all true,Very true,5,Not at all true,Very true,Very true,1.25,3.75,6.5,6.0,12.25,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,0.70723289,-0.79340422,-0.25424638,69.0,56.0,100.0,69.0,57.0,39.0,28.0,51.0,67.0,86.0,47.0,16.0,69.0,86.0,86.0,51.0,87.0,63.0,62.611111,100.0,76.0,66.0,77.0,56.0,69.0,100.0,100.0,52.0,100.0,66.0,73.0,80.0,71.0,49.0,33.0,67.0,55.0,79.0,51.0,36.0,10.0,4.0,59.0,66.0,48.0,57.0,100.0,51.0,63.827587,Disagree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Strongly Agree,Disagree,Disagree,Strongly Agree,2.0833333
90136,Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,37.0,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Strongly Agree,3.6666667,5,3,6,2,6,5,Not at all true,6,6,6,5,6,Somewhat true,5,5,5,3.5,4.0,5.75,5.75,6.25,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Agree,-0.60262674,0.11658423,-0.36180547,64.0,40.0,16.0,39.0,66.0,77.0,99.0,75.0,38.0,62.0,56.0,89.0,66.0,64.0,61.0,60.0,52.0,91.0,61.944443,7.0,10.0,75.0,86.0,11.0,40.0,9.0,5.0,4.0,51.0,4.0,6.0,71.0,36.0,40.0,80.0,60.0,47.0,4.0,8.0,9.0,8.0,10.0,9.0,14.0,15.0,38.0,22.0,13.0,27.310345,Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Neutral,Strongly Agree,2.4166667
46744,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,38.0,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,2.6666667,Somewhat true,3,5,3,5,6,2,5,Very true,5,3,5,6,5,5,5,3.25,4.75,5.5,5.0,4.25,Agree,Somewhat Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,-1.2222689,0.07264556,0.18468015,60.0,80.0,80.0,60.0,30.0,30.0,50.0,50.0,90.0,90.0,70.0,75.0,75.0,90.0,65.0,25.0,25.0,30.0,59.722221,80.0,60.0,35.0,35.0,20.0,20.0,15.0,10.0,10.0,50.0,30.0,40.0,20.0,5.0,60.0,30.0,15.0,15.0,15.0,10.0,80.0,15.0,15.0,30.0,50.0,10.0,5.0,10.0,40.0,28.620689,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,2.5
77941,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,46.0,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,3.5,Very true,5,Very true,Somewhat true,Very true,Not at all true,Not at all true,5,Very true,Very true,Not at all true,6,Very true,Not at all true,Very true,Very true,2.0,4.75,6.75,6.5,11.0,,,,,,,,,,,,,,,,,,,26.0,47.0,48.0,48.0,0.0,10.0,39.0,58.0,24.0,14.0,0.0,0.0,0.0,63.0,31.0,16.0,0.0,0.0,23.555555,50.0,50.0,25.0,25.0,12.0,74.0,28.0,,,29.0,,,14.0,13.0,,,,,,,,78.0,,,,,,,,36.18182,Strongly Disagree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,2.5833333
44873,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,39.0,Agree,Disagree,Disagree,Agree,Agree,Neither Agree nor Disagree,3.5,Somewhat true,3,6,3,3,2,Not at all true,Very true,6,6,2,Very true,Somewhat true,2,Very true,6,2.0,3.25,5.5,6.5,11.25,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,75.0,100.0,100.0,85.0,85.0,100.0,90.0,85.0,100.0,100.0,100.0,80.0,100.0,100.0,94.444443,85.0,82.0,77.0,100.0,66.0,82.0,70.0,60.0,75.0,55.0,55.0,54.0,75.0,80.0,73.0,73.0,65.0,65.0,60.0,55.0,55.0,50.0,50.0,72.0,90.0,89.0,70.0,90.0,89.0,71.103447,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Agree,1.8333334
36540,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,49.0,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,3.3333333,Not at all true,Not at all true,Very true,2,5,2,Not at all true,Very true,6,Very true,Not at all true,6,2,3,6,Very true,1.5,1.75,6.0,6.75,14.75,Strongly Disagree,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,0.80802733,-0.21441282,-0.66408503,69.0,71.0,70.0,39.0,99.0,97.0,98.0,79.0,52.0,84.0,61.0,64.0,55.0,69.0,99.0,46.0,22.0,81.0,69.722221,87.0,87.0,69.0,97.0,37.0,10.0,60.0,66.0,88.0,77.0,70.0,54.0,87.0,58.0,77.0,81.0,69.0,71.0,54.0,71.0,86.0,84.0,79.0,63.0,73.0,80.0,56.0,67.0,59.0,69.551727,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,1.8333334
14527,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,47.0,Neither Agree nor Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,2.8333333,3,Not at all true,Very true,Very true,Very true,5,Not at all true,6,Very true,Very true,Not at all true,Very true,5,2,6,Very true,1.25,5.0,7.0,6.5,12.5,,,,,,,,,,,,,,,,,,,50.0,10.0,100.0,50.0,25.0,60.0,80.0,100.0,75.0,100.0,10.0,10.0,75.0,100.0,100.0,70.0,10.0,50.0,59.722221,20.0,30.0,5.0,5.0,60.0,100.0,100.0,55.0,10.0,2.0,1.0,25.0,5.0,4.0,35.0,70.0,85.0,25.0,20.0,26.0,68.0,52.0,33.0,4.0,78.0,100.0,29.0,100.0,18.0,40.172413,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,1.4166666
83005,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,30.0,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,3.0,5,Not at all true,2,Somewhat true,Somewhat true,Not at all true,Not at all true,3,2,Not at all true,Not at all true,Somewhat true,3,Not at all true,5,5,1.0,3.25,3.75,2.75,4.0,,,,,,,,,,,,,,,,,,,70.0,50.0,85.0,20.0,10.0,50.0,70.0,30.0,60.0,50.0,20.0,5.0,40.0,40.0,80.0,0.0,10.0,30.0,40.0,30.0,40.0,15.0,30.0,50.0,50.0,36.0,10.0,10.0,15.0,20.0,37.0,45.0,5.0,60.0,20.0,50.0,40.0,20.0,50.0,80.0,20.0,5.0,30.0,75.0,50.0,30.0,50.0,46.0,35.137932,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Disagree,2.9166667
31439,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,43.0,Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,3.8333333,Very true,Not at all true,3,Very true,6,2,Not at all true,2,Very true,3,Not at all true,2,Very true,Not at all true,3,5,1.0,5.75,5.0,2.75,2.75,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,-0.60249043,-0.15688752,-0.39119491,67.0,68.0,51.0,45.0,50.0,52.0,80.0,38.0,52.0,71.0,29.0,12.0,25.0,36.0,97.0,39.0,35.0,58.0,50.277779,60.0,60.0,38.0,83.0,51.0,83.0,100.0,100.0,76.0,50.0,48.0,49.0,92.0,64.0,74.0,55.0,99.0,100.0,83.0,83.0,63.0,30.0,41.0,100.0,55.0,76.0,97.0,84.0,74.0,71.310349,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,3.4166667
